用户名,内容
法律硕士长风师兄,师兄今天给大家10个灵魂拷问如果您的答案都是肯定的，请坚定您的考研路!如果您的答案不足一半，请慎重考虑!1.你为什么要考法硕，目标明确吗?2.你想通过考研得到什么?思路清晰吗?3.通过来完成你的理想，你觉得是最佳途径吗?5.你的生活会因考研而改变吗?你能确定吗?5.考研是磨炼个人意志，需要全身心投入，你有心理准备吗?能坚持到最后吗?6.考研结束后，你要做什么，你有安排吗?7.考研结束后，社会可能的走向，你有考虑吗?你所学的知识，还能适应社会吗?8.考研学习重要的不是学到多少知识，而是学会如何发现和如何思考，你知道吗?9.如果不考研，你会失去什么?你会因此悲观、难过、后悔吗?10.如果考研，你会得到什么?你会因此更有信心地驾驭自己，我是长风师兄法硕，《23法硕导师班》正在招生，如果你计划备考23年法律硕士，关于备考的问题和困惑，欢迎咨询，目前整理了《23法硕院校信息表》《23法硕考研书籍清单》《时评案例合集》等资料，可参考使用，有需要可以私信师兄。
你压到我腿毛啦,如果只是跟风，大部分人撑不到最后，备考到一半就放弃了。每个人都有自己的想法，别人说大家都考所以自己考，不过是随口一说，他肯定还有自己的打算，就不过多解释了。社会越内卷，就有越多的人找不到满意的工作，因此他们选择考研来提高自己的竞争力。不要认为他们只是跟风考研，暂时不工作，只是为了日后更好的工作。说是压力导致也好，说是跟风也罢，考研只是当代大学生就业迷茫时的一个选择。你想继续读书就可以深造，不想读书就就业或者创业，主要看你自己的选择。
郝鹏,"2017.5.22更新
首先，我个人的理解考研起码最本质的目的还是希望自己进一步提升。当时的我就是因为随大溜选择了考研，真真正正自己坚定的选择考研的人是占少数的。就目前的形势来看，大学教育已经不是精英教育，考研则是一个继续深造的机会，而且现在各大高校的研究生招生比例相对也比较高，读研形式多样，包括全日制学术型硕士、应用型专业硕士和教育硕士等。考研是大趋势，大三时应届考研的学生人数也逐年增多。毕竟考研对以后的人生道路也会有很大的影响，考研毕竟只是多条出路之一。现在很多小伙伴都将考研、考公务员、出国找工作都作为自身的出路之一，尤其是应届生，每条出路都会想试一下，考研成了一种跟风和&#34;无意识&#34;的行为。不管是真心想考研还是跟风考研，最好是在考研前要想清楚自己为什么读研。若是在毕业的时候想当鸵鸟，想着研究生毕业的时候能找到更好的工作机会，这种心态不太好，不能抱着这样的心理去读研。读研的目的太功利，会有很多不尽人意的地方，比如说对学术不感兴趣，或者研究生毕业后还不如本科时工作机会更多，本科能得到的职位到研究生毕业后都得不到了。盲目考研是对自己未来不加思考不负责任的表现。其实我们本身在做决定的时候，身边的环境和氛围是一个很大的参照系。尤其是大学生，对自我人生定位还不那么明晰，而在面临毕业时，考研、考公务员、出国、找工作等等，似乎在他面前展开每一条道路都是一种人生方向的可能性，因为学校里，走每条道路的人都是蔚为壮观的。这时候就需要自己冷静下来，想想自己的实力和精力，甚至是个性和其他看起来不是那么相关的因素都要考虑进去。比如有的学生不适合当公务员，自己也不喜欢，但因为想着公务员待遇好，就又想去试试。有的人不想读研，也可以找到自己还比较心仪的工作，但是看着身边研究生学历的人越来越多，就开始犹豫自己的决定。这些例子在大学里都是非常常见的。无意识跟风，违背自己的意愿的结果只会让自己日后心有不甘。人生是一个历程，即使你真的巧合考上了，在读研或者当公务员的时候，都会心有芥蒂，遇到困难时会质疑自己当初的决定，而且越往后生活目的更加明晰，质疑也会更多，到时候很容易会使自己的人生陷入一种不快乐的恶性循环。因此，在面临选择的时候，多问问自己的内心，参照系是自己的需求，而不是身边人的各种无法穷尽、五花八门的行为。要知道，你活出的人生，做出的选择是要自己承担起责任的。对于那些正在为考不考研而犹豫的伙伴们，我个人的建议是：正如上面也涉及到的，目标明确最关键，结合自身各种情况，要明白自己究竟想要什么。这样做决定后，才会坚定，先想好了就不会一下子动摇。如果本科毕业有同学虽然可以找到工作，但他抱着要提升自己的能力，让自己更加胜任以后可能想要从事的工作的心态读研，这样的读研动机是非常好的。如果是找不到好工作，或者原来职位不满意，纯粹为了镀金想要文凭有，读研就是一根筋，为了更好的工作机会，这样是得不偿失的。因为未来不可预知，过了几年或许原来的工作机会或职位都得不到了。这样会特别失落，研究生读得不开心，最后工作也不一定找的好，两头空。当然之前我也和我的好兄弟聊过这个跟风考研的事情，也知道现在他们的无奈，都再说：“面对日益加剧的就业压力，他们这种跟风也是无奈之举，希望自己镀金镀的更好一些。其实我当时的想法是，最终这个问题还是要涉及到自己本身读研动机的问题上来，实际上，基于现在的氛围和整体深造环境，我们对于动机已不做深究，只要能够做到读研时能力得到提升，各方面得到磨练，学生能让自己的学术能力，学术水平得到更好的提升，分析问题和解决问题的能力见长。为了什么而来，或是功利性目的很强，或是很想做学术的，都不是关键，毕竟硕士生的培养和博士生的培养区别还是很大的。博士要专，对学业的要求很重，而绝大多数硕士出来一般不是说一定要去做学问，走向工作岗位的占了大多数，如果要做学问，还是需要继续深造。此外，读什么专业，虽然招硕士时他的专业的基础很重要，但能力的培养更重要。以后的工作和本专业可以很对口，专业对口很重要，但不对口，若培养好了能力，也一样可以做的很好。所以，对于不管是不是跟风还是真的想考研，只要是对自己各方面的能力有所提升，那么，只要有条件就去考研这是一件好事，前提是你要明确你考研的目的就好，毕竟考研也只是占用了你人生中那么一两年，不是吗？"
教育学考研胡非,考研是人生之中为数不多的，可以改变一生轨迹的事。并且是完完全全掌握在自己手里，可以通过努力去实现的。剩下的几个，屈指可数，高考。。。还有吗，好像没有了。改变人一辈子的事，并且可以靠自己去实现，不需要有机缘巧合，不需要路遇贵人。这样的事怎么会不吸引人呢？
王富贵,在不了解别人为什么考研的原因下，上帝视角的总结出“跟风”两字会显得很幼稚。其次，即使他们是看到室友考才想要考，这也不叫跟风，这是人的危机意识，趋利避害。至少说明他们对自己是负责的。再次，如果题主并没有一个完美的人生规划，或者说强大的家庭条件支持，自己也不清楚考研到底是好是坏的情况下，还是不要着急下结论的好。就我个人的经验来说，我大学同学包括我自己，大部分都不能很明确的在18-22岁的年纪拿出明确的未来人生规划，即使当下有，很快也会转变，或是家庭条件的原因，或是这段时间的一些经历或眼界的扩大导致目标的转变。没有明文标明“考研”一定对你的未来能产生很大的好处。所以大家对于“是否要考研？”的答案都是当下许多条件综合下的结果。有时候其中一个条件变动，那么这个结果也会随着变动。对于本来不打算考研，又突然决定要考研的人来说，有可能是在这段时间突然综合各种条件，发现可能考研会带给他更大的益处。也有可能是他真的不知道考研到底有没有用，但本着“别人有的我也得有”、“不落人下”的一种趋利避害的想法，才作出了考研的决定。最后，还是要提醒题主一句，在20来岁的时候，这种自以为是的“上帝视角”真的要不得。
Mr.L0neRaNger,不请自来，谈谈考研这个事。本人二本院校的一名大一学生，已有考研意向。下面谈其原因。       其一，高考失利，没有正常发挥，心中还是残存着高校梦，希望可以接触到更大的平台。        其二，家庭原因。个人不方便多透露，家人们对于我的期望不仅仅是本科学历。        其三，个人专业原因。答主的专业是关于电子类的。专业课很多，但鄙校是本科应用型高校，只需应用则已，导师们教的不多且不深。也希望自己能够在本专业上有更大的造诣，确实得需要一段时间的研究经历。     以上内容，所谈到的是本人作为一名大学生对考研的看法。下面讲讲现在跟风考研的现状。     自从两千年初，高校扩招以来，大学生在学生一族的比例也愈渐上升。社会上相关企业需要高质量的人才来效力他们企业，发展他们企业。有些私人企业可能对学历要求不是很高，但是像一些国企或者大企业对于员工的资质要求就很高，甚至一般重点高校的研究生也不够，也要求985，211学校的研究生。像我们高中那时候有次招新老师，门槛要求也是颇高。         反观二十年以前，举个例子，我一个阿姨，她那时候的成绩算不错，考上大专，现在在我们家乡的一个初中当数学老师，每年中考教出来的学生质量都不错，学校也是很重视我阿姨，都是想让她当班主任带班级。        还记得上次在@韩迪的回答讲到他父亲曾今对他说过，他父亲那时候清华的博士的质量可不比现在他现在当博士的质量差。        所以说，现在有些人盲目跟风考研也是不无原因的。但是答主觉得，要找准自己的方向，不要盲目跟风，毕竟这是个人的前途问题，有些人在大四选择自己创业；有选择就业，也有选择考研，这都是要根据自己的相关实际情况而言，就像答主那样，找找为什么要考研，那既然决定了，那就做出一点业绩来。
炳哥金融专硕,"这两年考研的人数一直在涨，可见是有多吃香。也许他不是通向成功唯一方式，但是是最直接的方式。最几年前想考研,兴许认真准备几个月就行，然而近年来随着社会发展和科技的不断进步社会对人才的需求量越来越大，从当当今的考研趋势我们不难想出，这也表明了当今社会就业要求越来越高，很多大型企业公司对招人的要求也越来越具有硬性要求，那就是学历门槛，下面我们来看一所数据！据图上显示我们可以看出，由于现在很多大学生就业压力较大，非全日制研究生考试纳入统考等多因素的推动下，总的硕士研究生报考人数呈现逐年上升的趋势，从2017年到2019年，每年的上升人数在30万以上，尤其是2019年比2018年人数总增加50万以上，那到底为什么报考研究生会越来越吃香？原因除了就业外，也是未来一个普遍的发展趋势。未来社会对研究生的需求与其说对研究生的需求不如说社会对人才的需求，据现在的趋势来看，目前社会上对研究生属于供不应求的状态，我国目前各类专业技术人才的总数为6075万人，约占总人数的4.7%与发达国家起飞时所需要的专业技术性人才比例为7%的标准相比，眼下我国专业技术人才缺口为2992万人，以此来看我国对人才需求量还是很大的。我国自加入WTO后，对毕业生研究生的就业打通了良好的积淀，这说明我国至少会增加1200万个就业机会，这其中对高层次的人才的需求越来越大，高新技术企业在我国飞速发展，各行各业都在吸引高层次人才，列如：北京，上海都有人才直通车政策。二十几年前考研人=少数应届生十几年前考研人=部分应届生+在职党几年前考研人=大部分应届生+在职党+二战党现在考研人=大部分应届生+在职党+二战党+三战党未来考研人=绝大部分应届生+在职党+二战党+三战党……N战党想考研先发疯,下定决心往前冲,“干”就完了!       考研人群构成更加多样，人数增加会放缓，变化体现在考研人数上，由于考研人数的架构，越来越多样化，考研人群越来越多，从前选择考研就业的人群是分开的，现在的人一般都是考研和就业同步进行的，一方面不耽误就业，另一方面如果能考上就继续深造，毕竟人生就一次机会为什么不让自己努力一把。"
精要教育,其实关键原因在于他们不知道自己想要的是什么。可能别人觉得考研很好，听说有利于提高就业率，自己就跟着考研。或者看到其他那么多人一块儿考研，那自己也跟着考研。尤其是每一年的考研率都在逐渐逐渐增加，根据从众心理，自然而然的就会出现跟风似的考研所以建议大学生应该早早地做好自己的生涯规划，而不是等到大二大三的时候还人云亦云，随波逐流。做生涯规划可以从向上思考，向下行动，向外探索，向内规划，四个角度考量。
帆少,能不能描述下，啥是跟风似的考研，啥是真心考研。真心考研的难道不也是跟了风，只不过这风来源远一点而已。芸芸趋势本就如此，跟风实习，跟风求职，跟风跳槽甚至跟风创业。难道你是乔布斯盖茨，走与众不同路。一般人选的规划方向，哪个不是参考了前辈之步趋？
老徐说,先说跟风这个问题。实际上大家应该都感觉得到，人的本质就是跟风。小的时候有人穿了什么好看的新衣服，我们会羡慕，然后回家和父母说自己也想要一件来穿穿。初高中的时候看到身边的朋友谈恋爱了，自己就也开始注意起了周围的男男女女。上大学的时候跟风参加社团和各种活动，进入学生会等等。一个单位如果有两个人先后离职，这个公司就很有可能迎来一波离职热潮。甚至连打哈欠这种事情都会传染。我们每一个人，其实随时随地都在跟风。所以跟风本身没有问题，关键在有，你跟风的是什么事情，以及在这件事中你能够得到什么。如果一个人知道自己在跟风什么，这件事本身的意义在哪里，它是不是正确的，对你的人生，或许不需要上升到人生，对你的生活，能不能给你带来真正的快乐，给你一些不同的感悟，让你结交一些有趣的人事物，让你发现崭新的自己，让你对这个世界有了新的认识，等等。如果跟风的这件事，你觉得是对的，并认识到它能够给你带来正向的收获，那这个风跟得有何不可？我前一阵时间认识了一个朋友，他家的孩子在人大读研究生。人家一家孩子都挺争气的，除了在人大读书的这位是家里的老大，老二是个儿子，目前在吉林大学读书。一般这种孩子在学习上不太需要操心的，老徐我进一步了解的想法也不太多，感觉就是孩子懂事又上进，获得什么仿佛不过顺理成章。不过在了解了这个小姑娘的考研经历后，老徐我的确是受到了一些激励，在此分享出来给大家。小姑娘本科是辽宁大学的土木，后来根据个人爱好在研究生阶段考了人大的西方经济学硕士，目前研一。人大的金融在业内是响当当的不错，研究生的教材是全英文的，虽然授课不是全英文，但作业什么的也是英文的居多，小姑娘ipad里的笔记也是满篇的英文还有各种公式，看得我这个北大光华MBA也一个头两个大。前面说了人家是根据自己的喜好选择的专业，为此，姑娘先是在大学期间自修了很多经济学方面的课程，又很早就开始了解国内各种经济学相关专业在研究生招生上有怎样不同的政策或者项目优势，可以说是为这个研究生做了非常多的准备。接着就是按部就班地学习，与浩浩荡荡的考研大军一起参加考试，然后顺利拿到录取资格，入学。在是否读博这个问题上，家里的争议有点大，首先读博的价值对于这个专业而言还是不小的，所以家里这边非常希望孩子能够继续读个博士回来。但人家非常有自己的主意，在综合考虑了读博后的就业方向后，毅然决然放弃了读博，在一入学就立定了硕士毕业即参加工作的决定。为此家里争论不小，这也是我被我这位朋友请到家里，想让我劝劝小姑娘的原因。其实在听过人家这么有主意地选了跨考专业又决定在自己这么喜欢的专业上没有继续深造的原因后，老徐我已经不打算劝什么了，但碍于朋友还是说了几句。结果可想而知，面对这么一个有主见有打算而且这些主见和打算都是经过深思熟虑后才做出的人，我们说的话也就是仗着虚长了人家几岁才说得出口。说真的，老徐我做MBA辅导今年也是第十个年头了，见过太多人也听过太多报考原因。即便如此，每当我遇到是因为自身的意愿选择深造的同学，还是由衷地会感到高兴。所以老徐在这里真心祝这位人大的同学，能够继续做一个可以坚持自己正确想法的人，也希望她能够在未来的人生道路上一帆风顺。说完个例，最后再举个参与人数较多的例子吧。1977年恢复高考的时候，那年的高考不在夏天，而是在冬天举行，总共有570万人参加了当年的高考。虽然按当时的办学条件只录取了不到30万人，但是它却激励了成千上万的人重新拿起书本，加入到求学大军中去。你能说这570万人中没有跟风高考的吗？你能说那些跟风高考的人里没有考上的吗？你能说那些跟风高考但是没有考上的人就没有一点收获吗？人的本质就是跟风，那至少让我们跟风学习吧。
neikoladodo,考研群本来150+的人最后变成28个人两年内都考上…现在没有人不在后悔考研的…0！！所有人都在后悔…俩休学了…理由五花八门，分手的不少导师不好的不少寝室关系不和谐的不少什么理由都有。如果毕业之后有你必须要做的事情，比如家庭责任等等…不要背着助学贷款等等还一个劲的说我要学习…毕竟只要有心，工作几年以后有了稳定的存款一样可以。再比如你有很好的创业想法…你有这样那样的好的想法好的创意…那都不要去考研…好好去做…不然会回过头来可惜…都被别人做掉了…研究生生活和本科生活还是很不一样的…你可能会面临巨大的压力和落差。你要确定自己不会中途后悔然后浑浑噩噩不知道要干嘛…同龄人都慢慢挣钱事业家庭双稳定…你还是个苦唧唧的学生…这心理落差你是否可以承受？选择了读研不一定就可以稳妥的毕业…导师质量良莠不齐…你可能面临的问题超过你的预知…即使毕业了也不代表你可以找到更好的工作，有些领域看资历不看学历…你是否清楚的知道…哎…不想多写了…不是啥正能量但是我是很鼓励那些不知道自己将来要干嘛又不想浪费时间的人，而且家里允许你多读两年书的…你可以一边读书一边规划未来的人生，这是相当不错的。以考研来规避就业压力的还是算了…因为该来的总是会来的…
魔王,1，从众心理偶尔你身边的人会巧合地干同一件事，这件事稀松平常并没有特殊好在哪里，但你会产生“起风了”的印象，你并不了解这个东西到底好在哪，但可能就从众了一下也跟风了，然后链式反应，从众的人很多，真的在人群中莫名其妙地刮起了一阵小旋风，但其实干这件事真的没有什么特殊。2，市场经济的盲目性别以为市场经济就是卖菜，人才市场也是市场。当传来信息说种一种菜会赚大钱，农民们会跟风种，而且农民们不知道有多少别的农民也种了这种菜，就以为只有自己种了，自己要发财了，结果半年后滞销了欲哭无泪。人才市场也会出现这个情况，市场信息不通使然，以后大数据经济普及了，技术发达了就会好些，但现在还会出现。3，用人单位爱面子其实中国的教育本身并没有太大问题，或者说有问题，但这些问题归根结底其实都是人才市场有问题导致的。比如中小学生减负减不下来，职业教育被歧视，大家以为是教育问题？不是的。其实是用人单位好面子，用人时并不唯一注重实际的工作技术，还注重炫耀自己公司员工的“本科率”、本科生泛滥了不值钱了，就只能炫耀“硕士、博士率”，反正不是炫耀财务和营收。这种用人单位的务虚和好面子，最终也是因为社会的问题，我们这个社会本身就是浮躁的，不愿意去花时间务实地了解一个人或一个公司，于是学历这种肤浅的名片就显得重要了。在西方国家成熟的用人市场中，诚然也会看文凭学历，但排第一的绝对是工作能力，比如招会计，上来直接让你当场用办公软件算个报表，做个减税出来，做不出来，做的不漂亮，你文凭再好看都没用，做的漂亮，大专学历甚至没学历都欢迎（当然如果学历和能力都有更好了），单纯要你给公司创造价值的，你的文凭并不能用来吃。研究生其实已经走向学院路线了，其在非科研岗位的工作能力并不一定比本科强，但是听起来学历总是要比本科高的，比本科屌的，所以如果这样的人当员工，即使工作能力不强，也可以让公司有面子的，公司列出数据说我们员工50%是硕士，其他二B合作公司一听哇，肯定实力很强，就找你合作啦，但其实工作能力并不一定比硕士率10%的公司强。国内很多老板创业都会第一时间贷款买一辆豪车，这要在西方国家是很难理解的，你创业不应该把钱花在公司资本上吗怎么先买豪车消费呢？幼稚，在中国，面子，就是资本的一部分，其他二B合作公司看到了豪车，就会认为对方是“有实力的公司”，就更愿意与之合作。肤浅是整个社会的大环境，不是具体一个人一个公司才有的问题，大学生为了就业，也是要被迫迎合这个肤浅、浮躁、攀比的大环境的，没办法。
爱德漫-小刚,对于没有目标和规划的人而言，做啥都是跟风，考研只是其中选项之一。当然考研的风相对容易跟，继续保持学生的状态就好了。
北航力学学长,泻药。你可能对考研的认识存在误区，给你分享一篇我以前写过的文章。https://zhuanlan.zhihu.com/p/56335160考研在以前还不是必须的事，就业找工作也没有这么难。而现在呢，大环境变了，就业压力越来越大，欣怡的工作越来越难找，很多人本科毕业拿着3000左右的工资，叫人如何不心酸。一纸文凭就能把本科生隔在一墙之外，叫人如何不心疼。如果是你，你还不考研吗？很多大佬本科优秀，或者专业排名靠前，能够出国，或者找到很好的工作，这个我也很赞成，本科学校的光环确实很重要。但是，如果在科研院所，高校，像那些靠经验，熬年头的学校，没有研究生，博士文凭如何能够进去呢？还不是要考研吗？张雪峰怼马丁时的场面依稀就在眼前，针对张雪峰强势考研的态度，马丁不礼貌的一直用手指着张雪峰，说道：“我告诉你我的公司没一个重点的！”张雪峰则霸气回应：“所以你不是世界500强！”我经常劝大家考研，为什么呢，因为牛叉大佬毕竟是少数，马云，比尔盖茨全世界能有几个？人家有的眼光你有吗？人家有的资源你有吗？人家有的圈子你有吗？为什么要跟别人比呢。在这人工智能发展越来越快，很多职业即将被取代的今天，不去找一个价值含量更高的工作，不去读研，那结果还用说吗？综上，大环境越来越不容乐观，考研人数会越来越多，考研将越来越难，拖的越晚，后面的考试难度会越大，所以，有考研想法的话，抓紧考研吧，他不是随大流，是为了以后能够活命。祝2020考研顺利！
华图法硕王老师,今天是考完研后的第4天，凌晨2点，考研结束的第74小时，收到几个学员的消息，并没有考完试之前想的那样，从压抑的备考中解放出来。原本想睡到天昏地暗，发现还是早上7点多准时醒了；原本打算会友刷剧开心耍耍，而精神陷入另一种忐忑状态，对未来一种不确定性的焦虑。我自己也是还在睡眠习惯纠正中，这两天大家考试我也很疲惫，为了能尽可能多帮助同学，几个干货的推送，都是搞到凌晨三四点。考研结束后，我做了个真题分析，同时对押题做了个总结，并没有专业课考试前的疯狂转发，因为我知道推送肯定能押中，对于大家是有帮助的，而这个总结更多是我们自己吹吹牛逼，对于下一届的招生做些宣传，反思命题思路总结做好下届服务，虽然这个押题命中率是有吹牛逼的资本的，但是对于考完试的21届的同学们来说，没有一些意义。华图法硕一路陪考相伴，对于同学们的情况都是比较了解的。今天有个同学，问我感觉很迷茫，想继续考清华北大法硕，执念很深，又没有经济基础，压力很大，问我怎么办。我前几天跟top2某一所研一到研三的三个年级的辅导员、党建助理等吃饭了解的些情况，加上这几年对周围不同层次学校法硕毕业生的观察。其实总结起来，人生就是处理个人与他人的关系、理想与现实的关系。在个人与他人之间找到平衡，在理想与现实间找到契合点。继续坚持梦想可以，毕业两三年最好不要找家里要钱了，同时毕业四五年，就得考虑婚恋问题了。一个阶段有一个阶段要完成的事情！同时在知乎上看到一个问题，可能对大家有些启发，说真的，回顾我自己的成长，对这两个答案很认可。我转载过来：问题：25 岁做什么，可在 5 年后受益匪浅？回答1作者：史蒂文今年正好30岁，从反面回答一下吧，后悔自己25岁时没人告诉我的。1、25岁时，没人跟我说，知识或者技能这种东西，学到了就跟你一辈子，不管工作或时空跨度多大，新知和技能都能排上用场2、25岁时，有人跟我说，习惯很重要，但没人跟我说重要到深度影响自己生活、人生选择和生命质量的程度。因为几乎大多数人，每时每刻都生活在形形色色的思维习惯、生活习惯中，比如健身、跑步、阅读、表达、写作、沟通、学习等等，所有影响我们生活工作结果的全是这些习惯。我们养成习惯，然后习惯养成我们。3、25岁时，没人跟我说，围剿式学习，就是吸星大法，通过观察对方的沟通、演讲、写作方式，从而学习他们的思维方式、学习他们身上最优秀的思维习惯。4、25岁时，没人跟我说，真诚和诚信有多么重要，真诚是领导力的真谛，诚信是商业的真谛，每个人的年薪、领导能力、商业成就全部都可以从这两个词汇里诠释。5、25岁时，没人跟我说，父母正在逼近死亡。年轻人可能心里想得更多的是幸福生活，但父母的年纪，他们年龄越大，越要去面临离开这一主题，他们担心被世界抛弃，担心自己在儿女生活中扮演不了什么重要价值，特别渴望回馈、关注和尊重，不管多忙，能多打一个电话就多打一个电话，能多在一起吃顿饭，就多在一起吃顿饭，能满足他们想要的，不管大小，尽量去满足。6、25岁时，没人跟我说，睡眠其实真正决定了生命的效率。因为睡眠决定着第二天的心情、状态、专注度等，而心情、状态、专注度直接影响结果，我们的现在就是由大大小小的这些结果构成的。所以睡个好觉可能是让生活变得更好的最大的捷径。7、25岁时，没人跟我说，保持自我，并不断变得更好，其实在一段感情里，远比委曲求全，一味地宠溺对方，更重要。保持自我可以测试出和对方是否合拍，不断变得更好，可以让感情更深刻而持久。千万不要因为孤独、无助、父母逼迫、个人面子、焦虑等原因仓促地选择一个人。这个人是自己生命的一部分，对自己施加着无以复加地影响，所以谨慎点，即便单身都比错误好很多。8、25岁时，没人跟我说，利用所有的感官去体验周遭的世界是那么重要，刻意发现生活的美，发现细微处的不同，会给自己带来很多小惊喜。&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;谢谢各位的赞，再补充几条除了真诚，诚信之外，如果想更有作为，还要有更多的善念、利他心、成全心，本质上每个人都是自私的，所以利他心、善念等才会帮助你构建一个价值网络，让更多人从你这里都能持续取得利益，你也自然能有所收获，从商业模式的定义来讲，即利益相关者的交易结构，这一点也是成立的，本质上创业的从0到1，从1到1000再到无穷大，就是构建出一个人得利到一群人共同得利的价值网，能席卷整个产业的价值网就会成就一个产业的垄断龙头。除了好习惯爱学习之外，还要懂得资本的力量，拿更多钱去改善自身的认知环境、生存环境，让自己生活在一个高度竞争高认知的生存环境中，会重新塑造你，能去华为阿里就去华为阿里，能去北上广深就去北上广深（东京柏林巴黎纽约伦敦更好），一定要在人类或者行业之巅寻找机会，才更有可能通过时间的积累让自己的人生拥有更多选择的自由回答2作者：李苦李25岁那年，我从京东离职，入职百度。在百度认识了当时的架构师久哥（T9级别），因为他的一番话，彻底改变了我的职业生涯，短短三年的时间，我从一枚普通程序员成长为别人眼中的技术大咖。当时因为业务需要，也承蒙久哥照顾，他跟我说过这样一段话：他问，“如果用5年的时间学习数据库，你能不能成为这个领域的专家？”我说，“应该可以吧”他说，“你现在25，5年后也才30，30岁就能成为某个领域的专家，为什么不去做呢？你看看周围有多少30岁的人还一事无成，而那个时候的你已经是数据库专家了。”当时的我，刚刚进入别人梦寐以求的BAT，处于各种浮躁的时期，虽然每天也在学习，看起来也很努力，但是效果极其有限，今天想学大数据，明天想学云计算，后天又要研究机器学习，心境变化无常，不知道自己未来究竟该是什么样。如果就这么下去，我也就是在百度熬资历，领工资，混吃等死了。好在久哥的话点醒了我，不知道别人听了什么感受，我听了以后真如开窍了一般，知道该如何去规划自己的技术路线了。专研某一个领域，用不了5年，我一定可以成为该领域的专家！想明白了就干！从一本《高性能MySQL》开始，一个知识点一个知识点的攻克，每天除了完成日常工作之外，就是各种mock数据，性能调优，阅读源码，撸官方文档等等。。白天有时间在公司学，晚上回家接着搞，每天到凌晨两三点基本是常态，当时为了获得高性能的数据库，尽可能跟生产环境保持一致，在不到一年的时间里，我光在阿里云的投入就有一万多的费用。为此，女朋友知道后还跟我生气了好久，觉得我si不si傻，竟然能在这个上面花1w多，对于当时的她来说简直不能接受，好在女朋友还算开明，气过之后，看在我那段时间确实努力的份上，而且钱也是花在学习上，也就在我承诺以后绝对注意之后，气才算消了。付出总是有汇报的，在一年多的钻研之后，我就着手开始把当时项目的整个数据层重构了（这也是最初久哥对我的期待），又经过半年多夜以继日的拼搏之后，整个系统在不增加任何资源的基础之上，负载降低了40%左右，效果极其显著。这此重构完成以后，我在部门内的影响力开始建立了起来，后来又被借调到兄弟部门，帮助他们做性能优化，系统设计，而且还在百度内部做技术分享，扩大自己在公司内的影响等等。伴随而来的，就是我个人的收益了，除了技术上的成长，就是收入上的了，工资、年终奖每年递增，最重要的是在百度三年半的时间里，我从T4，连胜三级，离职时已经是T7的level了。这也算是我职业生涯中创造的奇迹了。因为在百度T7的级别，在打算回西安之后，几乎没怎么费力就拿到了华为的offer，而且待遇比在北京有增无减，算是平稳从一线城市到二线城市过渡了。说到底我是幸运的，在职业生涯刚开始，就遇到正确的人，学会了正确的方法，正因为如此，每学习一门新的技术，每进入一个新的领域，我都能得心应手。从入职百度到现在已经有6年有余了，若说对我最大的收益，一个是金钱上的，因为技术的快速成长，让我一个地地道道的农村娃，成功在大城市立足了，有了自己的房子，开着不错的车子；另一个就是让我更加自信了，作为一个普通二本院校毕业的程序员，刚毕业的时候，我是不自信的，干什么、说什么都是畏畏缩缩的，现在不一样了，不管是做什么，不管是我会还是不会，我都能从容应对了。总结一句话：朝着一个目标不断做精深练习，不断犯错，不断挑战自己的极限，这种努力给你带来的收获绝对超出你的想象。人生11条箴言1、最牛逼的本事就是让自己的本事无与伦比的牛逼。即便是搬砖头，你也要力当肌肉最发达，力量最大的那一个。那么，这个世界总有一块由你做主的地盘。2、要想不辜负自己的一身才华，一定要懂点手段。只有懂得手段，才能防止被人耍手段。只有防止了被人耍手段，你的才华才可能得到充分释放。所以，你可以不屑使用手段，但是，一定要懂点手段，给自己的才华上个保险杠。3、对待善良的人，你要更善，对待可恶的人，你要比他更恶，恶到令他发指，颤抖，而不敢对你越雷池一步。这才是对自己，对家人和朋友真正的负责，才是真正的善良。4、别为了一点小事而跟人斤斤计较，但也不要因为别人说“这是小事，何必计较”就不好意思去跟人计较。凡侵犯了自己的人格、尊严、底线的事，再小，对你都是大事，必须计较。5、钱可以大手花，但花在什么地方，却要谨慎考虑。有些地方你花钱越多越富，有些地方你花钱越多越穷。简单来说，脖子以上，钱花得越多越富有；腰带以下钱花得越多，人越倒霉，越穷。6、别无选择的时候，不做选择，就是最明智的选择。别无选择，意味着你怎么选就怎么错。那不做选择呢，起码起码你还没犯错。7、没事可以耍耍抖音，但注意别被抖音给耍了。8、学会点赞是这个时代最简单却最贵重的礼物。看完别人认真、走心、专业的微信文章，知乎文章，随手送个赞，于你虽然只是弹指一瞬间的不起眼，对作者却意味着星火燎原之势的力量。9、想让别人记住你的好，多做雪中送炭的事，少做锦上添花的事。10、永远别急于表现自己，因为那样会让别人一眼看穿你的底牌。在牌局中，轻易就让人看穿底牌的人，往往都是被人看不上眼儿的新手、小白角色。不管你是不是真有实力，让人看不出你的实力，本身就是一种实力。这是让人重视你的第1步。11、跟人交流时，少用“你应该”“你不要”“你必须”，多用“咱们可以”，“我们是不是”，“你看要不要”之类的词汇。前者说得多，朋友迟早走光光，没有人会觉得自己应该被要求被命令。编辑搜图王晓维老师，毕业于清华法硕，曾任2年清华辅导员，清华本硕，具备高超的应试技巧，备考司考2个月获430分。状元方法论，辅导累计超过20余人录取清华北大。 
