用户昵称,商品id,评分,商品尺寸,商品颜色,评论时间,评论内容,评论类型
****z,16693191605,5,60升,??【黑科技】电子镁棒零电洗,2021-11-20 18:45:31,外形外观：很不错，大牌子的放心 加热速度：非常快，速热很不错 耗能情况：还可以，不是很费电，值得购买 洗浴时间：烧的快，家人用起来很放心，热水不段 其他特色：外观可以，双十一买的，价格也不错,neg
j***7,14658635932,5,60升,【奢华净浴】除氯净水护发柔肤,2020-09-19 09:04:12,新品上市搞活动买的 合适  功能齐全 电子镁棒  实体店至少三千多  安装服务也很好  安装速度快  可以手机控制,pos
****x,16688261602,5,60升,【高端旗舰】电子镁棒涡旋速热,2021-11-19 20:56:14,外形外观：电热水器很好看，高档大气，容量大还不占空间  加热速度：涡旋速热，加热很快  其他特色：送货上门，免费安装，安装师傅很专业，态度也很好。帮家里老人家下载美居，还很耐心教如何使用手机远程操控。,pos
u***i,14824600037,5,60升,【新品首发】电子镁棒零电洗,2020-11-01 14:49:31,外形外观：京东自营真速度，晚上下单中午就送到。外观真好看。 加热速度：加热速度真快，不用十分钟就有色热水了。 耗能情况：也很省电，加热一箱水电表都用不了多少电。,pos
****t,16615117266,5,60升,??【黑科技】电子镁棒零电洗,2021-11-10 22:14:00,外形外观：美观大方，颜值很高。  加热速度：加热速度很快。  耗能情况：变频加热，比家里的老式热水器省电很多。  其他特色：下载美的美居，注册之后可以手机遥控，很方便！,pos
未***角,16567174454,5,60升,??【黑科技】电子镁棒零电洗,2021-11-03 15:58:41,颜值很高，尺寸也很紧凑，家里的小卫生间刚好能放下，这下冬天可以满足两三人连续洗澡了～,pos
****w,16574275266,5,60升,【高端旗舰】电子镁棒涡旋速热,2021-11-04 16:29:49,热水器质量很好 外观很美观漂亮  出水速度很快  推荐购买 装修师傅服务很热情,pos
首***3,15646915107,5,60升,【鸿蒙智联】除氯净水护发柔肤,2021-05-08 10:13:22,完美的美的热水器！家里原来就是美的热水器，用了年了。跟老婆商量后，果断换新最新款的美的智能热水器，完美的简直是不要不要的！全程智能控制，小时在线，小时按照制定计划进行加热，让全家人随时都有热水用，定时开关终于可以下岗了，太赞了！ 美的售后安装师傅很专业，半个小时安装完毕，免费安装，大赞?！ 美的售后服务人员，从商品发货开始就一直联系我，沟通安装事宜，服务一流，大赞?！ 京东大件物流配送，服务超棒！（特别赞一个，居然是个美女配送员???）！,pos
z***9,15832501736,5,60升,【新品首发】电子镁棒零电洗,2021-06-19 11:30:26,智能镁棒电热水器真的很强大，操作简单，安全有保障。 售后安装周到迅速。 安装后，洗浴真方便。,pos
a***6,16577792650,5,60升,??【黑科技】电子镁棒零电洗,2021-11-05 02:13:36,宝贝收到了，并且已经安装好了，美的大品牌就是不一样，美而大方，加热也很快，值得信赖。,pos
老***三,16591259737,5,60升,【高端旗舰】电子镁棒涡旋速热,2021-11-07 11:25:32,外形外观：外观简约大气 颜色美观 加热速度：加热速度快 耗能情况：无噪音 一级能耗 省点节能 洗浴时间：满足一家人正常淋浴 其他特色：安装师傅服务态度热情，安装技术高超，物流配送快，售后跟踪服务热情，购买此产品非常满意，非常愉快的一次购物。,pos
竹***哥,16607050187,5,60升,??【黑科技】电子镁棒零电洗,2021-11-09 17:37:43,"南方的冬天用太阳能热水器简直是受罪,忍了好久,终于在双的时候决定换电热水器,选来选去,还是相信美的的品牌,加上双的优惠力度很大,送货很快,安装的师傅也很专业,比较满意的购物。",pos
1***p,16626900114,5,60升,【奢华净浴】除氯净水护发柔肤,2021-11-12 13:24:29,外形外观：外观颜色喜欢'看着非常大气上档次 其他特色：可以智能杀菌达到健康'还有很多特色功能'比如 是综合对比后选择的一款'一次性买了两个,pos
