名称,评分,图片地址,评论数,价格,标签,,,,,
中山路“高清投影只是鼓浪屿海景房”双向BRT旁/近厦大/鼓浪屿/八市海鲜市场/沙坡尾/网红打卡地,4.7,https://z1.muscache.cn/im/pictures/miso/Hosting-50118983/original/3f032e47-0ddb-4a0f-a3f2-b26d74aecfa0.jpeg?aki_policy=large,6,￥388,"整套酒店式公寓,  · 1室1.5卫1床",,,,,
"白书·曾厝垵D2｜景区内,7分钟海边环岛路，免费浴缸袋+花茶，前卫设计师民宿，近机场中山路厦大植物园",4.9,https://z1.muscache.cn/im/pictures/230e89a3-9af7-4fa2-ab8a-85b71b3398c2.jpg?aki_policy=large,73,￥221,"精品酒店客房,  · 1室1卫1床",,,,,
［Blue mood ］近厦门北/方特/机场双床网红看日出日落海景房,4.8,https://z1.muscache.cn/im/pictures/35d23020-8c19-4b1f-8d17-f360612d49e2.jpg?aki_policy=large,335,￥210,"整套loft,  · 1室1卫2床",,,,,
2张1.5米的双床房。网红打卡民宿。近厦门大学/曾厝垵/环岛路/中山路/鼓浪屿/南普陀寺。,4.9,https://z1.muscache.cn/im/pictures/98a4f6b1-68b3-4784-a557-791d57f148fb.jpg?aki_policy=large,1599,￥165,"独立房间,  · 1室1卫2床",,,,,
秋千(投影仪)一线无遮挡海景房|莫兰迪浅绿风格,4.8,https://z1.muscache.cn/im/pictures/ad6eed00-8f05-482f-bd64-28aaa2149231.jpg?aki_policy=large,616,￥203,"整套loft,  · 1室1.5卫1床",,,,,
【素】高性价比大床房步行可达海边近曾厝垵厦大南普陀植物园鼓浪屿等景点,4.8,https://z1.muscache.cn/im/pictures/miso/Hosting-45507479/original/af131e15-252a-45f1-8ccb-c89a54b81c0f.jpeg?aki_policy=large,657,￥129,"独立房间,  · 1室1卫1床",,,,,
『厦门情侣口碑?』接机接站? 投影大床、可做饭?、配私人管家、在曾厝垵海边? 近植物园、厦门大学,4.9,https://z1.muscache.cn/im/pictures/2f68180f-26db-49bb-a1b1-efe54615f012.jpg?aki_policy=large,422,￥224,"客栈单间,  · 1室1卫1床",,,,,
在海边102，厦门位置第一，机场厦门北站直达，鼓浪屿中山路轮渡八市，不接待老人，有除湿机,4.7,https://z1.muscache.cn/im/pictures/miso/Hosting-46688235/original/a3649877-7c95-44d5-8e44-8ef51ff03fe2.jpeg?aki_policy=large,60,￥128,"独立房间,  · 1室1.5卫2床",,,,,
菲home  无遮挡海景Loft|Bose音响|落地窗|日式简约|3分钟海边|投影|干净舒适,4.7,https://z1.muscache.cn/im/pictures/miso/Hosting-44515970/original/5c1c3b05-1cab-4188-8ca0-c556ee9a9a27.jpeg?aki_policy=large,287,￥215,"整套loft,  · 1室1.5卫2床",,,,,
「窗外海景」「投影仪设计型民宿」近曾厝垵/厦门大学/沙坡尾/植物园/环岛路/鼓浪屿,4.8,https://z1.muscache.cn/im/pictures/miso/Hosting-50645737/original/8bf77b1c-31dc-4b77-b3fc-bc30891f7404.jpeg?aki_policy=large,55,￥246,"精品酒店客房,  · 1室1卫1床",,,,,
厦门环岛路曾厝垵.厦大.沙坡尾鼓浪屿设计师民宿room302,4.7,https://z1.muscache.cn/im/pictures/miso/Hosting-50625083/original/4ea291d4-c16d-45ba-b680-532669862e33.jpeg?aki_policy=large,23,￥308,"整套别墅,  · 1室1卫1床",,,,,
?【格格美宿】巨幕影视大床，2米网红大床房紧邻曾厝垵小吃街，厦门大学，胡里山炮台众多网红景点，出行便,4.7,https://z1.muscache.cn/im/pictures/5136abe9-2091-4483-a7a0-07e22f6f9fac.jpg?aki_policy=large,650,￥147,"独立房间,  · 1室1卫1床",,,,,
?夏屿轻奢落地窗大床房,4.8,https://z1.muscache.cn/im/pictures/miso/Hosting-51012445/original/13bd31e5-3606-4325-8581-9b3d7f970641.jpeg?aki_policy=large,258,￥114,"客栈单间,  · 1室1卫1床",,,,,
［Sun shine］近厦门北/机场/方特/步行五分钟到达彩虹沙滩/Loft复式看日出海景房,4.9,https://z1.muscache.cn/im/pictures/ecb6aeca-039e-44e8-bc29-0c420f7a8635.jpg?aki_policy=large,479,￥210,"整套loft,  · 1室1卫2床",,,,,
<强烈推荐>一张1.8米的投影大床。近海边/厦门大学/曾厝垵/环岛路/中山路/鼓浪屿/南普陀,4.9,https://z1.muscache.cn/im/pictures/10b77f24-5e62-45d3-ac42-b6c1997548fd.jpg?aki_policy=large,734,￥119,"独立房间,  · 1室1.5卫1床",,,,,
躺在床上就可以看海的复式民宿，近机场，近高铁，近方特,4.9,https://z1.muscache.cn/im/pictures/45db897b-8138-4f4b-9401-e802e19765d7.jpg?aki_policy=large,913,￥210,"整套loft,  · 2室1卫2床",,,,,
【森】曾厝垵投影大床房近厦大，中山路，沙坡尾，鼓浪屿，设计师民宿，点击下方头像可以看其他房源,4.9,https://z1.muscache.cn/im/pictures/50f02343-5a20-409d-b4a2-c072352caae6.jpg?aki_policy=large,1099,￥128,"客栈单间,  · 1室1卫1床",,,,,
【漫】高性价比大床房步行可达海边近曾厝垵厦大南普陀植物园鼓浪屿等景点,4.9,https://z1.muscache.cn/im/pictures/9ed36166-f254-43d5-8eb6-c313784a1094.jpg?aki_policy=large,854,￥99,"客栈单间,  · 1室1卫1床",,,,,
?【格格美宿】亲子家庭房，紧邻曾厝垵小吃街，厦门大学，胡里山炮台，沙坡尾猫街等网红景点，出行十分便利,4.9,https://z1.muscache.cn/im/pictures/802d5bcf-a056-4e91-ade6-56e89012bbf3.jpg?aki_policy=large,1373,￥132,"独立房间,  · 1室1卫2床",,,,,
【拂柳风吟】已消毒/曾厝垵厦大环岛路海边/简约大三房/既有投影仪又有电视机,4.7,https://z1.muscache.cn/im/pictures/miso/Hosting-31292089/original/c652b318-8163-4aa6-9034-e3c8e7ba3dd8.jpeg?aki_policy=large,81,￥629,"整套公寓型住宅,  · 3室2卫4床",,,,,
曾厝垵【青石】【三晚接机】大床『茯苓』3楼落地飘窗房，近环岛路//厦大/钟鼓索道/鼓浪屿/植物园,4.7,https://z1.muscache.cn/im/pictures/miso/Hosting-38554479/original/a89f7222-4291-4f79-b18d-3c6864498d1b.jpeg?aki_policy=large,57,￥169,"独立房间,  · 1室1卫1床",,,,,
【可短租做饭】栗子小姐 一居大床房 高清投影 带飘窗榻榻米阳台 中山路步行街 轮渡码头 地铁直达,4.9,https://z1.muscache.cn/im/pictures/miso/Hosting-53455219/original/90f1775e-f69c-4f79-893f-f4b93e47f5d9.jpeg?aki_policy=large,6,￥208,"整套公寓型住宅,  · 1室1卫1床",,,,,
海边的度假民宿??直面海景套房·私享?影院【三晚连住送??帆船出海体验】摩洛哥仙人掌庭院#蓝色岛屿,4.9,https://z1.muscache.cn/im/pictures/bc09ba81-4574-4254-8057-ad66eb022f45.jpg?aki_policy=large,105,￥299,"整套普通公寓,  · 1室2卫2床",,,,,
【港湾设计师美宿】阳光大床房/距离海边300米/近厦大/曾厝垵/沙坡尾/中山路/胡里山炮台/双子塔,4.9,https://z1.muscache.cn/im/pictures/45f87666-542c-4860-890e-084eb62021f7.jpg?aki_policy=large,1258,￥108,"客栈单间,  · 1室1卫1床",,,,,
白书·曾厝垵C5｜景区内，7分环岛路海边，免费花茶+浴缸+小阳台，设计师民宿近火车站厦大植物园中山路,4.7,https://z1.muscache.cn/im/pictures/0f237142-b1b1-4a1e-b242-1bfa2ca8b4c0.jpg?aki_policy=large,60,￥221,"精品酒店客房,  · 1室1卫1床",,,,,
白书·曾厝垵C2｜景区内，7分钟海边环岛路／免费花茶+浴缸袋，50米美食街／设计师民宿／近机场鼓浪屿,4.9,https://z1.muscache.cn/im/pictures/394797f4-c275-4ceb-abf7-3973a865f595.jpg?aki_policy=large,41,￥221,"精品酒店客房,  · 1室1卫1床",,,,,
厦门市环岛路曾厝垵.厦大.沙坡尾.鼓浪屿设计师民宿room401,4.9,https://z1.muscache.cn/im/pictures/miso/Hosting-50625727/original/eed10e9a-bfba-498a-bbc2-64a1c2ec1b53.jpeg?aki_policy=large,32,￥228,"独立房间,  · 1室1卫1床",,,,,
「窗外好景」「投影仪设计型民宿」近曾厝垵/厦门大学/沙坡尾/植物园/环岛路/鼓浪屿,4.7,https://z1.muscache.cn/im/pictures/miso/Hosting-50645640/original/52f5ecd6-c6cf-40f1-b184-995775a8cca7.jpeg?aki_policy=large,98,￥246,"精品酒店客房,  · 1室1卫1床",,,,,
曾厝垵泳池民宿 ?接机接站，含早下午茶?〔橘夏〕配私人管家，步行10米曾厝垵小吃街，海边步行1分钟,4.7,https://z1.muscache.cn/im/pictures/miso/Hosting-45627554/original/a4bda1fa-6719-423e-a1da-62f0f76fb11b.jpeg?aki_policy=large,66,￥311,"度假村客房,  · 1室1卫1床",,,,,
【阳】轻奢大床步行可到海边沙滩近曾厝垵厦大南普陀植物园鼓浪屿等景点,4.9,https://z1.muscache.cn/im/pictures/miso/Hosting-44600423/original/986c3de2-40c9-49db-8ede-c4b12e92dbaf.jpeg?aki_policy=large,659,￥157,"客栈单间,  · 1室1卫1床",,,,,
【接机接站】〖海景/山景露台〗〖看日出 〗近曾厝垵/黄厝海滨/沙坡尾/环岛路/厦大/植物园,4.8,https://z1.muscache.cn/im/pictures/miso/Hosting-38609253/original/cfe63775-7139-435e-acc8-b27e68198b59.jpeg?aki_policy=large,216,￥253,"独立房间,  · 1室1卫1床",,,,,
洋果子|中山路步行街看日落市中心景观阳台房投影房|八市沙坡尾鼓浪屿,4.7,https://z1.muscache.cn/im/pictures/miso/Hosting-44844560/original/5fd570b7-a923-40d8-a146-4b168dbd3653.jpeg?aki_policy=large,57,￥258,"整套公寓型住宅,  · 1室1卫2床",,,,,
曾厝垵【青石】【三晚接机】【沙棠】双层LOFT/4楼落地飘窗-庭院公区，近沙滩/厦大/鼓浪屿/植物园,4.9,https://z1.muscache.cn/im/pictures/miso/Hosting-38555443/original/ea418dbf-4722-478e-b5d6-1ba52ccb51d4.jpeg?aki_policy=large,88,￥205,"整套loft,  · 1室1卫2床",,,,,
特惠上新 霏淇公寓2米大床 沙坡尾三一号 带超大浴缸 近厦门大学 南普陀 世茂双子塔 看日光岩海景房,4.8,https://z1.muscache.cn/im/pictures/miso/Hosting-45631575/original/93ceebb0-7b5e-4f85-835d-fc1db57c4964.jpeg?aki_policy=large,52,￥192,"整套酒店式公寓,  · 1室1卫1床",,,,,
白书·曾厝垵D3｜景区内/大床房，7分钟海边环岛路／免费浴缸袋+花茶，网红设计师民宿近火车站厦门大学,4.8,https://z1.muscache.cn/im/pictures/3e0061b8-5d15-4584-a801-512a916dbb59.jpg?aki_policy=large,50,￥221,"精品酒店客房,  · 1室1卫1床",,,,,
在海边101，厦门位置第一，隔音玻璃隔音墙，机场北站直达，鼓浪屿中山路轮渡八市，露台看海除湿机,4.9,https://z1.muscache.cn/im/pictures/miso/Hosting-46687766/original/14847cf6-b440-454b-a5a4-038a610cd981.jpeg?aki_policy=large,47,￥104,"独立房间,  · 1室1.5卫2床",,,,,
鼓浪屿 纳海庄园Ⅰ别致大床房Ⅰ豪华现代北欧风Ⅰ独栋别墅带大庭院可看海Ⅰ靠近码头 海边沙滩,4.9,https://z1.muscache.cn/im/pictures/b9c25c85-8a0b-4acd-91e9-f44535d88ea6.jpg?aki_policy=large,100,￥192,"独立房间,  · 1室1卫1床",,,,,
?《Amoy设计》轻奢大床房 曾厝垵 紧邻环岛路 厦大 白城沙滩  点击头像可查看更多房源,4.9,https://z1.muscache.cn/im/pictures/miso/Hosting-47259835/original/c2d13e33-c8d9-43ff-9c03-955c15da3712.jpeg?aki_policy=large,564,￥110,"独立房间,  · 1室1卫1床",,,,,
??2米＋1.5米两居室套房。网红打卡民宿。近厦门大学/曾厝垵/环岛路/中山路/鼓浪屿。,4.8,https://z1.muscache.cn/im/pictures/fc0f7345-d63d-415a-b0af-7591c1dbf787.jpg?aki_policy=large,1002,￥284,"独立房间,  · 2室1卫2床",,,,,
前后精致大床&接机接站&儿童乐园&落地窗&电梯&环岛路海边&会展中心&曾厝垵&厦门大学,4.7,https://z1.muscache.cn/im/pictures/6b873cc4-2e8b-4f19-bd54-012d5d24dae1.jpg?aki_policy=large,202,￥217,"客栈单间,  · 1室1.5卫1床",,,,,
［Sun shine］近厦门北/机场/方特/步行五分钟到彩虹沙滩/Loft复式看海看日出日落海景房,4.9,https://z1.muscache.cn/im/pictures/2d075195-c7eb-48e7-8f52-0175034451d4.jpg?aki_policy=large,209,￥248,"整套loft,  · 2室1.5卫2床",,,,,
【UNO一室一厅】DOLOMITI Apt/STUDIO多樂美地藝文公寓 近海近会展楼下地铁轻奢商场,4.8,https://z1.muscache.cn/im/pictures/53bdf918-46cb-4eb7-9e42-1aa84a192a38.jpg?aki_policy=large,3,￥398,"整套公寓型住宅,  · 1室1卫1床",,,,,
无遮挡日式海景LOFT，近机场/厦门北/方特/集美学村，榻榻米｜和服｜投影仪,4.9,https://z1.muscache.cn/im/pictures/7de607b2-0a60-4dc1-9213-faacf009360b.jpg?aki_policy=large,338,￥168,"整套loft,  · 1室1.5卫2床",,,,,
厦门曾厝垵美食街内（海边民宿）——两室两卫两间大床房2(近鼓浪屿?中山路)直达机场高铁站,4.7,https://z1.muscache.cn/im/pictures/a6473db8-8036-424d-97fd-afdbf78464dc.jpg?aki_policy=large,111,￥168,"精品酒店客房,  · 2室2卫2床",,,,,
白书·曾厝垵C3｜景区内，7分钟环岛路海边，浴缸+免费花茶，设计师民宿，近火车站机场厦大中山路植物园,4.9,https://z1.muscache.cn/im/pictures/5595cf48-7bf2-4861-8cba-f857bac9df37.jpg?aki_policy=large,41,￥221,"独立房间,  · 1室1卫1床",,,,,
厦门市环岛路曾厝垵.厦大.沙坡尾.鼓浪屿设计师民宿room301,4.9,https://z1.muscache.cn/im/pictures/miso/Hosting-50626253/original/9a2a59ce-7d3d-4240-b773-9285fe3c0cc8.jpeg?aki_policy=large,31,￥288,"独立房间,  · 1室1卫1床",,,,,
曾厝垵【青石】【三晚接机】【蒹葭】双层LOFT/4楼落地飘窗-庭院公区，近沙滩/厦大/鼓浪屿/植物园,4.9,https://z1.muscache.cn/im/pictures/miso/Hosting-38554792/original/5d415638-85aa-47b6-a42f-4b7a3321ecff.jpeg?aki_policy=large,62,￥205,"整套loft,  · 1室1卫2床",,,,,
在海边204，隔音玻璃隔音墙，全厦门位置第一，机场和北站直达，中山路轮渡八市近鼓浪屿，露台看海,4.7,https://z1.muscache.cn/im/pictures/miso/Hosting-46697906/original/40d1246d-ef0f-40d5-8403-1e15aa6a636f.jpeg?aki_policy=large,57,￥128,"独立房间,  · 1室1.5卫1床",,,,,
?一张2米投影大床。近厦门大学/曾厝垵/环岛路/中山路/鼓浪屿/南普陀。(点击房东头像可看其他房源),4.7,https://z1.muscache.cn/im/pictures/550125af-2739-4ff0-a122-4bb6e4b89562.jpg?aki_policy=large,701,￥141,"独立房间,  · 1室1卫1床",,,,,
曾厝垵「含两份早餐」★巨幕投影｜白羽大床「连住2晚提供岛内接机接站服务」  沙坡尾｜植物园｜厦大,4.9,https://z1.muscache.cn/im/pictures/8d0156a4-1738-48ed-b0f7-f82e14e146ae.jpg?aki_policy=large,154,￥273,"整套酒店式公寓,  · 1室1卫1床",,,,,
【INS雅奢大床房】近公交地铁口 住中山路商圈 对面就是鼓浪屿 /厦门大学/曾厝垵/环岛路/双子塔,4.9,https://z1.muscache.cn/im/pictures/a07e5c48-87da-4135-92ac-754b6f071eee.jpg?aki_policy=large,57,￥160,"酒店式公寓的房间,  · 1室1卫1床",,,,,
厦门曾厝垵『喜物客栈』【早春】投影大床房/三晚接机接站┃曾厝垵内┃近环岛南路/鼓浪屿/厦大/植物园等,4.9,https://z1.muscache.cn/im/pictures/9b8c15c8-5d5b-43eb-8254-d37cc0fce13e.jpg?aki_policy=large,139,￥160,"客栈单间,  · 1室1卫1床",,,,,
V7中山路/近鼓浪屿厦大/八市美食/私享花园大浴缸阳光房,4.7,https://z1.muscache.cn/im/pictures/a1049003-9a44-429d-a7db-4d965b03b953.jpg?aki_policy=large,25,￥228,"独立房间,  · 1室1卫1床",,,,,
「窗外山景」「投影仪设计型民宿」近曾厝垵/厦门大学/沙坡尾/植物园/环岛路/鼓浪屿,4.9,https://z1.muscache.cn/im/pictures/miso/Hosting-50645788/original/52217b40-5ed9-49eb-9845-49bd5abd2180.jpeg?aki_policy=large,27,￥196,"精品酒店客房,  · 1室1卫2床",,,,,
【超高性价比！】心居·大床房 |近曾厝垵 中山路 厦大|海景空中花园|步行沙滩|可存行李【何时连锁】,4.8,https://z1.muscache.cn/im/pictures/3595cbe6-2d28-45fa-b39e-de2be947d0b9.jpg?aki_policy=large,152,￥80,"独立房间,  · 1室1卫1床",,,,,
厦门北站万科云城华侨大学简约北欧风格大床房,4.7,https://z1.muscache.cn/im/pictures/9c794261-cbee-4df5-a30e-5c4b6dc48001.jpg?aki_policy=large,38,￥123,"整套公寓型住宅,  · 1室1卫1床",,,,,
udream花房店「哩哩」曾厝垵花房店一居室/音乐广场/北欧风/环岛路/鼓浪屿/开放厨房房车,4.7,https://z1.muscache.cn/im/pictures/miso/Hosting-49867981/original/a6da356c-0a71-44e7-914b-67464cf5fa3a.jpeg?aki_policy=large,12,￥99,"整套普通公寓,  · 1室1卫1床",,,,,
『海语诉』?诉说/近机场/近北站/Loft复式/ins风/一线海景房 躺在床上看海看日出,4.9,https://z1.muscache.cn/im/pictures/30972f9b-c431-456b-9cb1-798cf19aa550.jpg?aki_policy=large,18,￥189,"整套loft,  · 1室1卫2床",,,,,
中山路步行街近鼓浪屿  舒适一居室 乔木一号,4.8,https://z1.muscache.cn/im/pictures/8352c09f-e5df-4d99-8342-a296bad9305c.jpg?aki_policy=large,9,￥108,"整套住宅,  · 单间1卫1床",,,,,
洋果子｜Caramel中山路步行街八市沙坡尾鼓浪屿阳台房投影房,4.8,https://z1.muscache.cn/im/pictures/91bc35c0-7ee4-4db4-813b-14533b9309fc.jpg?aki_policy=large,33,￥287,"整套公寓型住宅,  · 1室1.5卫2床",,,,,
【当归·沐浪】环岛路海边.近曾厝垵.厦大.植物园.沙坡尾.独栋别墅.乳胶大床房.带小客厅.发光美妆镜,4.7,https://z1.muscache.cn/im/pictures/3c5e5060-10f2-4e58-aafa-df7d0fbed965.jpg?aki_policy=large,150,￥188,"精品酒店客房,  · 1室1.5卫1床",,,,,
ins泡泡椅情侣大床房(投影仪)一线无遮挡海景套房|近机场/近厦门北站/一线无遮挡套房/面朝大海,4.7,https://z1.muscache.cn/im/pictures/d6bacd70-1d74-44ea-9784-d25e480cde0f.jpg?aki_policy=large,262,￥183,"整套loft,  · 1室1卫1床",,,,,
厦门市环岛路曾厝垵.厦大.沙坡尾.鼓浪屿设计师民宿room403,4.8,https://z1.muscache.cn/im/pictures/miso/Hosting-50629083/original/9fc3b260-375a-4ebb-9547-ade603248ab4.jpeg?aki_policy=large,14,￥228,"独立房间,  · 1室1卫1床",,,,,
在海边202｜位于中山路轮渡 对面鼓浪屿｜1分钟八市｜交通便利｜星空露台｜无窗有空气净化器,4.7,https://z1.muscache.cn/im/pictures/miso/Hosting-46696104/original/5f63771c-f25c-4e44-8cbc-0cf6dcd854c3.jpeg?aki_policy=large,44,￥112,"独立房间,  · 1室1.5卫2床",,,,,
udream花房店「淡月」送写真花房店/音乐广场旁/带浴缸投影一居室/开放式厨房/房车/北欧山景房,4.8,https://z1.muscache.cn/im/pictures/miso/Hosting-49868336/original/a39dac97-2793-4f4c-b7ce-dcf9e15c2123.jpeg?aki_policy=large,8,￥240,"整套普通公寓,  · 1室1卫1床",,,,,
《高清影视大床》曾厝垵厦门大学.鼓浪屿.中山路.胡里山炮台.沙坡尾.双子塔.,4.8,https://z1.muscache.cn/im/pictures/miso/Hosting-51715805/original/929501c3-f0aa-426c-ba28-375c7eef72da.jpeg?aki_policy=large,93,￥140,"客栈单间,  · 1室1卫1床",,,,,
【可月租】性价比/海景房/地铁口/宝龙一城商场之上/近会展中心/直达鼓浪屿/厦大/沙波尾,4.8,https://z1.muscache.cn/im/pictures/4bc056cd-896f-4cc6-a05d-5d55b21d71ba.jpg?aki_policy=large,45,￥459,"整套loft,  · 2室2卫3床",,,,,
【INS精致大床房】近公交地铁口 中山路商圈 对面就是鼓浪屿  /厦门大学/曾厝垵/环岛路/双子塔,4.7,https://z1.muscache.cn/im/pictures/a5e0bbff-3b4f-4e83-aafc-6090e742f423.jpg?aki_policy=large,72,￥103,"度假村客房,  · 1室1卫1床",,,,,
【漫途】环岛路设计师民宿投影大床房近曾厝垵，厦大，中山路，鼓浪屿，沙坡尾点击头像可以看其他房源,4.8,https://z1.muscache.cn/im/pictures/miso/Hosting-43854394/original/227ea952-d5d7-4928-94e9-b4a98962c04b.jpeg?aki_policy=large,1230,￥149,"客栈单间,  · 1室1卫1床",,,,,
沙坡尾 素room《井良》LOFT一室一厅阳台配浴缸/近厦门大学/鼓浪屿/中华城/植物园/猫街,4.8,https://z1.muscache.cn/im/pictures/46f27e90-3162-49dc-a141-c150c9df704b.jpg?aki_policy=large,96,￥167,"整套loft,  · 1室1.5卫2床",,,,,
鼓浪屿 纳海庄园ⅰ豪华园景大床房ⅰ豪华现代北欧风ⅰ独栋别墅带大庭院可看海ⅰ靠近码头 海边沙滩,4.8,https://z1.muscache.cn/im/pictures/e720eb77-e325-427e-9ef9-8a49c067b6e4.jpg?aki_policy=large,50,￥256,"独立房间,  · 1室1卫1床",,,,,
初时〖逢棠〗沙坡尾982ins韩风，带独立望海天台配投影/浴缸/近厦大/猫街/中华城/植物园/双子塔,4.8,https://z1.muscache.cn/im/pictures/miso/Hosting-47057298/original/65acc2f9-be61-4f81-9138-bf0ebbccc5d5.jpeg?aki_policy=large,41,￥295,"整套公寓型住宅,  · 1室1卫1床",,,,,
免费代订鼓浪屿船票 近黄厝沙滩 赏绝美日出 近环岛路会展中心 曾厝垵厦大 鼓浪屿 超大山景海景大露台,4.9,https://z1.muscache.cn/im/pictures/dab7823a-9005-4e55-9fb5-6d8907552078.jpg?aki_policy=large,40,￥248,"酒店式公寓的房间,  · 1室1卫1床",,,,,
【半岛南茶】火车站/中山路门口公交直达/市中心豪华三居,4.8,https://z1.muscache.cn/im/pictures/miso/Hosting-51094227/original/47d2f078-4fa9-4ce7-94b6-bd0cc91988ce.jpeg?aki_policy=large,4,￥510,"整套住宅,  · 3室2卫3床",,,,,
【INS雅奢大床房】近公交地铁口 住中山路商圈 对面就是鼓浪屿 /厦门大学/曾厝垵/环岛路/双子塔,4.9,https://z1.muscache.cn/im/pictures/a07e5c48-87da-4135-92ac-754b6f071eee.jpg?aki_policy=large,69,￥160,"酒店式公寓的房间,  · 1室1卫1床",,,,,
沙坡尾 《空白格》LOFT一室一厅双床北欧极简配浴缸带厨房近厦门大学/中山路/植物园/鼓浪屿/曾厝垵,4.9,https://z1.muscache.cn/im/pictures/4392a86b-3ecb-45c8-8b64-1c72b597f1b5.jpg?aki_policy=large,95,￥247,"整套公寓型住宅,  · 1室1.5卫2床",,,,,
厦门北站日式简约小居集美华侨大学独立单间,4.9,https://z1.muscache.cn/im/pictures/64122bf3-c61c-4ebd-8c78-01ed4ac21824.jpg?aki_policy=large,6,￥96,"整套公寓型住宅,  · 1室1卫1床",,,,,
北欧经典设计，榻榻米豪华观影房，十哩空间民宿,4.7,https://z1.muscache.cn/im/pictures/da543b4a-5785-4343-8862-91dcf1fa679a.jpg?aki_policy=large,7,￥142,"整套公寓型住宅,  · 1室1卫1床",,,,,
［Blue sky ］超性价比ins网红落地窗Loft海景房 近厦门北/高崎机场/方特/彩虹沙滩,4.8,https://z1.muscache.cn/im/pictures/768a28c1-5db5-406c-b67b-39a1fc44fc75.jpg?aki_policy=large,300,￥300,"整套loft,  · 2室1.5卫2床",,,,,
厦门市环岛路曾厝垵.厦大.沙坡尾.鼓浪屿设计师民宿rooom304,4.8,https://z1.muscache.cn/im/pictures/miso/Hosting-50626772/original/ddb2e35b-f35e-456b-a4b5-ddcc9b8d8192.jpeg?aki_policy=large,22,￥198,"独立房间,  · 1室1卫1床",,,,,
在海边303｜位于中山路轮渡 对面鼓浪屿｜1分钟八市｜交通便利｜公共投影仪｜露台看海,4.8,https://z1.muscache.cn/im/pictures/miso/Hosting-46704846/original/1d2fca69-40fc-43b4-a49e-8ccd254ef0c5.jpeg?aki_policy=large,36,￥128,"独立房间,  · 1室1.5卫1床",,,,,
鼓浪屿 纳海庄园Ⅰ精致大床房Ⅰ豪华现代北欧风Ⅰ独栋别墅带大庭院可看海Ⅰ靠近码头 海边沙滩,4.7,https://z1.muscache.cn/im/pictures/f0a69264-d633-474c-a525-dc7d43f7d15f.jpg?aki_policy=large,31,￥168,"独立房间,  · 1室1卫1床",,,,,
