词语,频率
笔直,1
齐整,1
周,1
点开,1
应用软件,1
感应器,1
墒情,1
信息,1
浇灌,1
排水,1
有叶龄,1
采集,1
分布,1
地图,1
差异化,1
高空,1
遥感,1
全省,1
科技进步,1
贡献率,1
69%,1
率,1
98%,1
育种,1
精量,1
点播,1
卫星,1
农情,1
推广应用,1
农垦,1
党委书记,1
董事长,1
王守聪,1
规模化,1
群,1
核心,1
示范,1
新建,1
20,1
节肥,1
深翻,1
地下,1
能为,1
养分,1
安装,1
诱捕,1
解决,1
三河镇,1
滨湖,1
每隔,1
一盏,1
晚上,1
亮,1
引诱,1
害虫,1
位于,1
拼,1
没少用,1
一长,1
水质,1
受,1
影响,1
渐渐,1
化学,1
肥,1
成本,1
地能,1
差,1
魏宏说,1
撒种,1
种得,1
有机质,1
含量,1
高级,1
农艺师,1
孙坚,1
政说,1
绿色生态,1
减量,1
优质稻,1
生物防治,1
物理,1
全县,1
39,1
同比增加,1
445%,1
连续,1
负增长,1
农产品,1
总体,1
合格率,1
976%,1
中央,1
农村,1
发展,1
面源,1
综合治理,1
投入品,1
减量化,1
夏天,1
左边,1
抓,1
鸭子,1
右边,1
捞,1
活鱼,1
桦川县,1
理事长,1
鸭稻,1
蟹稻,1
虾稻,1
鱼稻,1
立体化,1
无需,1
除草剂,1
粪便,1
制成,1
53%,1
2000,1
一亩,1
田多,1
500,1
减下,1
多斤,1
农家肥,1
抛撒,1
还田,1
逐地,1
逐块,1
更好,1
培肥,1
地力,1
佳木斯市,1
95%,1
90%,1
认证,1
1500,1
张艺开,1
游,1
仪,1
宋豪,1
人民网,1
北京,1
张文婷,1
不法,1
商贩,1
低成本,1
事件,1
时有发生,1
暴发,1
监测数据,1
2011,1
中毒事件,1
31,1
257,1
发病,1
47,1
183%,1
卫健委官,1
网,1
称,1
用餐,1
饮酒,1
自制,1
药膳,1
不明,1
酒水,1
伴随,1
畏光,1
复视,1
高度重视,1
及早,1
就医,1
俗称,1
木醇,1
木精,1
挥发性,1
用做,1
溶剂,1
化工,1
原材料,1
可经,1
呼吸道,1
皮肤,1
消化道,1
入体,1
人体,1
毒,1
作用,1
本身,1
代谢,1
产物,1
甲醛,1
甲酸,1
特征,1
中枢神经,1
眼部,1
代谢性,1
酸中毒,1
～,1
10,1
致死,1
多由误,1
掺兑,1
假酒,1
顾名思义,1
指,1
它常,1
有害物质,1
食用,1
在生活中,1
丁醇,1
醇类,1
物质,1
原料,1
气味,1
似,1
误食,1
224,1
小时,1
长达,1
天,1
延长,1
头晕,1
恶心,1
呕吐,1
腹痛,1
烦躁,1
模糊,1
重症,1
双目失明,1
神志不清,1
抽搐,1
呼吸困难,1
昏迷,1
早期,1
类似,1
常有,1
家属,1
误以为,1
不作,1
治疗,1
时机,1
延误,1
对此,1
卫健委,1
消费者,1
应,1
正规渠道,1
完整,1
标签,1
符合标准,1
无,1
切勿,1
私自,1
来源不明,1
杜绝,1
来历不明,1
流向,1
餐桌,1
生活必需,1
单位,1
储存,1
建议,1
家庭,1
存放,1
石睿,1
统筹,1
抓好,1
央视网,1
迎来,1
开采,1
外省,1
工有,1
一万多,1
全员,1
升高,1
各大,1
茶园,1
繁忙,1
景象,1
清明,1
短时间,1
制作,1
典型,1
季节性,1
劳动密集型,1
防疫,1
茶场,1
实行,1
进出,1
制茶,1
运输,1
互不,1
交叉,1
分,1
每间,1
合理安排,1
住宿,1
聚集,1
抵达,1
全程,1
世界日报,1
汉庭顿,1
拉,1
肯纳,1
达茶,1
却是,1
格兰,1
杜拉,1
爱好者,1
第一次,1
成,1
小花,1
海,1
邻人,1
喜欢,1
莳,1
弄,1
草,1
空余,1
从不,1
闲着,1
锄地,1
交换,1
交流,1
心得,1
一年四季,1
不冷,1
圣诞节,1
依然,1
花草,1
情有独钟,1
多年,1
家人,1
阿姆斯特丹,1
旅行,1
特别,1
脱队,1
博物馆,1
参观,1
浓郁,1
情怀,1
每到,1
发芽,1
梦想,1
盆里,1
不小,1
到处,1
零星,1
角落,1
没种,1
看不到,1
开,1
李太太,1
数百,1
棵,1
张罗,1
圣诞,1
大餐,1
刨地,1
笑,1
言,1
第二个,1
星期,1
庭院,1
第一朵,1
一周,1
之内,1
拔,1
亭亭玉立,1
蓝天白云,1
春风,1
摇曳,1
美不胜收,1
美而,1
不娇,1
非常容易,1
花头,1
坑,1
一寸,1
半左右,1
埋,1
给水,1
疏松,1
湿润,1
花种,1
美丽,1
花朵,1
不让,1
失望,1
实在,1
可爱,1
太阳,1
灼人,1
花娇,1
叶嫩,1
留在,1
花期,1
会因,1
曝晒,1
大大缩短,1
第二天,1
剪,1
回来,1
插花,1
正是,1
品茗,1
季节,1
喝茶,1
聊天,1
桌上,1
妙不可言,1
杨青,1
王琴,1
长沙,1
湖南省,1
例行,1
例新冠,1
例,1
定点医院,1
诊治,1
诊断,1
病情,1
稳定,1
11,1
父女关系,1
龚,1
时空,1
交集,1
核查,1
16591710,1
730812,1
路千惠,1
超市,1
8121157,1
11571408,1
14081424,1
14241628,1
16281645,1
1645,1
鹭岛,1
面包店,1
买,1
面包,1
750823,1
8231155,1
11551408,1
14081420,1
校门口,1
等待,1
1640,1
800826,1
8261155,1
11551400,1
14001420,1
上午,1
15001510,1
处,1
1521,1
老百姓,1
药房,1
新城,1
1526,1
好想你,1
1530,1
正门口,1
知花,1
知果,1
取,1
团购,1
物品,1
710,1
对面,1
书亦烧,1
仙草,1
小笼包,1
包子铺,1
包子,1
商场,1
中百,1
罗森,1
107,1
吃,1
晚餐,1
730,1
小卖部,1
茶,1
颜悦色,1
汽贸,1
大厦,1
店,1
大米,1
梓园,1
门口,1
进店,1
至蜜雪,1
冰城,1
地下商场,1
7ELEVEn,1
428,1
乘坐,1
116,1
公交车,1
下车,1
1448,1
珠江,1
郦城,1
1502,1
1540,1
捞刀河,1
滨水,1
市民,1
福元,1
199,1
15401610,1
12301400,1
罗森尼娜,1
蛋糕店,1
侯家塘,1
12301340,1
日均,1
区,1
二级,1
排查,1
追踪,1
次,1
消毒,1
朱延静,1
