评论人昵称,星级,等级,时间,有用数,评语
Mr.NotHere,5,力荐,2021-09-29 18:07:14,1288,"
今天来看了长津湖，有些感受，不涉及剧情的透漏，因此写下来。电影中给我两个感受颇深的点。第一点，圣诞节那天，中国军队和美国军队伙食的巨大反差，让人真的心疼我国志愿军，但丝毫不影响他们作战和快乐的心情，所以优越的物质条件并不是决定成败的根本因素，有时候人的意志才是。第二点，不知道大家对于我国从朝鲜运回烈士遗骸有何感受。但这次我深切感受到运回烈士遗骸的必要性。这些烈士在他们那个时代，也有精彩的人生，但他们为了祖国，去异国他乡战斗，为国捐躯，献出自己宝贵和本该精彩的人生，后人真的应该永远铭记他们，把他们遗骸送回祖国大地也是后代子孙应该做的，他们值得，这也是我们对历史做出贡献的人的尊重，是跨越时空的尊重。
"
Aurora,3,还行,2021-10-01 10:29:10,239,"
没有我想象中好看吧，也有可能是想通过一些轻松幽默的场面化解战争的苦痛？感觉更像是贺岁片（不知道该用什么词）
"
Damian,4,推荐,2021-10-01 20:40:09,249,"
刚入朝在干河坝的石头那场戏我紧张得差点窒息了
"
无处安放,3,还行,2021-10-01 17:36:02,371,"
很失望，煽情部分太多，剧情有点混乱，有些地方特效一般般，提前离场了。
"
silva,4,推荐,2021-09-30 18:52:47,373,"
好几个画面还是感动的湿了，几个演员都演得挺好。总体有个感受，不管拍的如何，只要实打实把资源砸进去，这么波澜壮阔的朝鲜战争，如此有现实教育意义的一次胜利，拍他十部八部都不为过。人老美打输的战争拍的都比这多，舆论宣传的阵地要勇敢的抢滩登陆！
"
独慕,3,还行,2021-09-30 16:01:33,611,"
3.5 开头到第一次正面交战这里 我觉得整体节奏都非常流畅  后面就开始拖沓了  雷排长牺牲那段 有点过于煽情 反而没那么令人动容 
"
你看起来很好吃,4,推荐,2021-10-10 22:12:59,139,"
没有金刚川那么能代入情绪，不过胡军演的真好，摸着鼻子和脖子里流出的血的害怕的表情，小人物就是应该怕死然后有些事情又必须要去做，这样才够真实。吴京中规中矩，段奕宏也是。我想不明白为何非要用人命去堆出战争的胜利，确实在装备大幅度落后的情况下就得靠意志，但是他们自己就真的愿意牺牲吗？有没有别的途径呢？不得而知。那个年代，又感人又悲壮又无奈。
"
那就豆花吧,5,力荐,2021-10-02 22:55:04,276,"
我知道，所有的战争都是惨烈的，但一直以来，我所感知的“惨烈”都是不可名状的。《长津湖》最大程度还原了抗美援朝战争的真实情境，其中多处战争场面令人心惊、令人震撼、令人悲痛。战场把人变成鬼。开着战斗机的美国大兵，对着“死尸”扫射，只是为了打发时间、做个无聊赌约。活着的时候是侩子手，死去之后又是鞭尸人。与天斗是为了与人斗。零下40℃的极寒天气，隐藏在大大小小谷壑中的中国军人，他们和老天爷对抗着，只为同意欲抢夺祖国疆土的美国士兵较量。没有打不死的英雄。资本主义的战争遍地是杀人机器，而我们只有一波又一波的血肉之躯。坦克、迫击炮、火箭筒，在枪林弹雨里，我们能用的武器太少也太小。上了战场的都是英雄，但他们却不是打不死的。电影只是历史的一个缩影，背后的惨烈不敢想象。新中国来之不易！致敬中国军人！
"
ssss219,5,力荐,2021-10-02 18:50:53,262,"
近两年从金刚川，到1950，到长津湖。这次感触最深。外公也是19岁上的现场，也会怕疼，也会调皮，也会想家。
"
咕噜咕噜Q,3,还行,2021-10-02 09:18:52,309,"
这要是历史纪录片，还原的有滋有味。
这要是一部描述战争的电影，我只能说看了等于没看。
"
kate y,3,还行,2021-09-26 22:16:07,275,"
没想过他能完全还原史实，因为不可能。只论影片质量，打的很激烈，但大场景太绿幕了，一眼假。人物塑造也逃脱不了英雄气概的脸谱化，我给两星半
"
Herry·Stark,5,力荐,2021-10-02 23:39:35,308,"
画面出现在感恩节，我军战士只能躲在冰冷雪山沟里啃冻的邦邦硬硌掉牙的土豆时，万恶的美军却在温暖的阵地里开快乐而酒肉满足的派对。这个前后画面对比异常强烈。
这就是长津湖战役，我们的先辈与当时美军各方面的悬殊差距，看到雷爸喊疼说不要留下他自己最后死去的片段时，更深刻的感受了什么是前仆后继，电影或精彩或激烈或好笑的片段很多，但让我始终紧张和恐慌的，是那未休止的枪炮声和美军飞机的呜呜声，试想下我只是坐在影院里听声音就对炮弹爆炸、美机不时的轰炸而惊慌和害怕，揪着的心从未放下，那当年那些踏上战场，真真切切面对战争的祖祖辈辈们又该有怎样怎样怎样我们想象不到的经历和感受。
我们活在他们希望的未来里，有什么理由不珍惜？
永怀感恩，感恩你们
"
江上悬鱼,4,推荐,2021-09-30 19:09:31,4252,"
场面拍得挺好，但总觉得少了点什么。
"
邪魔天使,3,还行,2021-09-27 19:46:59,8061,"
画面质感差，特效一般，战争戏感觉很乱，三个小时的电影感受不到剧情的起伏和高潮，更谈不上震撼，虽是大制作，但实在平庸
"
国士,3,还行,2021-09-30 13:26:49,5581,"
篇幅可以删减一半。
"
澈安,4,推荐,2021-10-01 23:32:47,3382,"
我看见那句为抗美援朝战争的胜利打下了基础的时候，突然的意识到教科书上这样古板的文字，背后的意义实在太沉重太深刻了。
"
只是咕咕,5,力荐,2021-09-30 17:30:36,6516,"
“我们不打，下一代就得打”
"
Fun,5,力荐,2021-09-29 23:00:28,9106,"
先看1950他们正年轻，再看长津湖，一边是听觉上听老兵们谈抗美援朝，一边是视觉上重现他们的过往，不得不说，都是非常非常值得观看的电影。

长津湖，吴京yyds！易洋千玺未来之星！
胡军，朱亚文，为什么可以这么好啊！
我觉得不得不说是李晨对比起来真的很糟糕啊，演技台词都不在线！

最直观的感受是，我决定不过圣诞节了，从前我觉得和平年代百花齐放，过过节也没什么，现在我觉得不是的，历史教育任重道远，我不愿意傻呵呵地替别人庆祝胜利，我有什么资格去替别人高兴？

我们的战士们在条件如此艰苦的情况下仍然浴血奋战，那些不是数字，都是人命，是我们有今天幸福生活所牺牲的人们啊！我们这么能不知道啊！怎么能忘记啊！！！
"
呵呵哈,2,较差,2021-10-01 17:05:42,2480,"
2颗星给拍摄场面、给志愿军战士们，其他没法更多了。
"
mongantagta,4,推荐,2021-09-28 20:02:36,5604,"
点映观影，场面非常震撼，摄影很有新意。不得不说四字弟弟的表现我个人很满意很惊艳，在电影中他不是偶像他就是那个敢拼敢打像只小兽莽撞向前的伍万里。
"
胡弃暗,3,还行,2021-10-03 09:03:34,1578,"
人物，从正派到反派，全都是脸谱化的、功能性的。北极熊团的boss，全程一副我不知道自己是谁、我不知道自己在哪里、我不知道自己该干什么的表情。四字版伍万里一眼看去就是个（20）00后时代少年，像是来参加沉浸式主题教育的。主人公依然对战争不会产生一丝质疑。战争也依然不会对主人公的心理健康产生一丝影响。特效塑料感极强，部分大场景，真实感还不如《冰雪奇缘》。情节稀碎，主要靠铺得满满的爆炸音效和背景音乐吸引注意力。没想到国内战争片的天花板居然是拍喜剧出身的冯小刚导演。《集结号》和《芳华》虽然由于可以理解的原因存在这样那样的暧昧和局限，起码塑造的主人公都是有血有肉真实可感的，具有一定的人性深度。陈凯歌导演不该是这个水平，希望他能拿出写《少年凯歌》的真诚来拍战争片，以更好地铭记历史、缅怀先烈。
"
高质量鉴赏达人,2,较差,2021-09-26 21:17:48,2498,"
去看了点映，值得票价，三个小时看下来还好，一直战争戏容易麻痹双眼，但是也刺激。我不喜欢红海因为没有对人物的刻画，很可惜，长津湖也没有这种类似的刻画，换句话说文戏很少也就那样。另外我认为这部电影可以分为好几幕镜头，到最后的一个小时才算长津湖，我觉得结局真的潦草，可能有第二部吧。总体看下来比八佰金刚川好看，但是我不认为这只是一个三小时史诗大作该有的表现，理应能更好。
"
九,4,推荐,2021-10-02 12:27:13,1083,"
万里一个新兵在枪林弹雨里穿梭毫发无伤 难免让人觉得主角光环强大
"
Larghetto,4,推荐,2021-09-30 16:01:38,865,"
该夸的也夸了，透过这一部片子来谈谈文艺背后的症候。无论是多位导演联合执导的局面，还是对其散乱冗的批评，都不只是这一部影片展出现的问题，而是近几年类型片的通病。回到文艺发展史本身，依旧是“革命礼乐”与“礼乐革命”发生了转轨与变调。从配乐来看，两个半小时的影片塞下了近十条音乐动机显然是过于满了，配合上大量的战争镜头造成了感官的疲惫，也类似于戏剧的“音墙”干扰了演员的唱词。而这背后体现的正是好莱坞大片的叙事模式（中途岛战役）与样板戏类型产生的冲突。例如进攻动机的使用，军号旋律之后紧跟着一长串交响其实是不太合适的，这正是某种创作困局的隐喻。希望导演们能够结合好“花部”与“雅部”，形成新的主旋律类型。
"
lbx锨,2,较差,2021-10-02 22:02:36,1842,"
这是中国人民志愿军，不是普通意义的战争片，不是搞一堆坦克飞机和冲锋时人山人海就能够拍好的。说是《长津湖》，但是影片几乎没有体现出长津湖这个战役的特点和战略意义，实质拍的还是战狼式的个人英雄主义，而且战斗场面那种爆炸真的看的我信仰砰砰砰受不了。
"
欧阳喝喝,3,还行,2021-10-13 04:35:05,939,"
和《中国医生》一样，令人敬仰的是事件或历史本身，而不是电影。
"
很男的男,2,较差,2021-10-02 22:54:20,1346,"
想的太多，拍得太散。人工雕刻痕迹过重。
"
To-致敬,4,推荐,2021-09-26 09:41:33,729,"
CG做得实在一言难尽；大部分战斗戏又黑又晃，如果是3D估计得看吐，幸好不是；故事线剪辑穿插问题很大，兄弟俩拍着拍着就虎头蛇尾了，要不是知道有第二部，这结尾能被骂死，既然要做第二部其实欧豪也可以放在第二部没必要先拿出来；七连第一场支援战太抢戏，把所有紧张情绪一次性宣泄出来了，导致最后大战调动不了观影情绪，有点喧宾夺主。但除了这些，也没啥缺点了，通篇设计很紧凑，三个小时的时长看得意犹未尽，希望第二部赶紧定档！

"
跳广场舞的大叔,3,还行,2021-10-04 21:34:23,829,"
我觉得下次别设置这种任性小孩形象了，战争不是儿戏。
"
驀然一渡,5,力荐,2021-09-29 22:34:32,5903,"
非常合格的献礼片，3个小时略长但是看点满满。节奏情感战争场面都处理的恰到好处。虽然是三个大导拍的片，但是好像分不太清每个人拍摄的part，只知道战争场面大概是林超贤。（我想知道徐克是哪段，我猜是景色多的片段）唯一美中不足的是这部剧没有女性角色，只有两个，一个易烊千玺一面之缘的小妹妹和吴京他妈，只有几秒，实在是太少了。。男人戏还是要看吴京胡军段奕宏，此外再预言一下：易烊千玺以后会是非常非常好的演员（影帝级别）。
"
无隅,3,还行,2021-10-08 20:24:47,609,"
不知道为什么有种在螳臂当车的感觉，志愿军吃冻土豆，转场美军吃火鸡热菜的对比难道很荣耀吗？外国的战争片已经拍出了新高度，为什么我们还在用艰苦而又顽固的战争场面刻画来表达精神？
"
Jo_飛,3,还行,2021-09-30 16:02:14,1426,"
只感受到了林超贤拉满的肾上腺素，但确定要在电影院里坐3个小时吗？
"
那又怎么样呢？,5,力荐,2021-10-04 13:34:18,2194,"
（写在前面：我不知道为什么会有人觉得不过3个小时的电影有点长？如此惨烈的战役，革命先辈用鲜血和生命换来的和平，你只看了3个小时就觉得长？）从电影视角来说，可能没有那么完美，但因为是讲述革命先辈，所以我一定要给五星。没有特别煽情，看有的人说一些他们打打闹闹的片段可以删减，我想说，战士也是人，他们是活生生的人，他们有老兵，有十几岁的孩子，如此艰苦的的岁月里，他们可能就是靠这些打打闹闹来缓解战争的残酷和失去队友的悲痛情绪。这才是一支充满希望的队伍，能打胜仗的队伍。永远向这些革命先烈致敬，愿世界再无战争。
"
自闭了,5,力荐,2021-09-25 20:37:48,5100,"
看了点映，第七穿插连的故事有血有肉有笑有泪，很是动人。其中恢宏大场面相当有气势，虽然制作时间紧但特效超级震撼。祖国大好河山壮丽风景穿插其中也很是漂亮。另外各位演员让我在这三小时里完全忘了他们是谁，在我眼里就是角色本身，伍万里的成长线和哥哥、雷爹的情感线都让我几度哽咽。让我印象'最深的是胡军和朱亚文太出彩了。大家演技都在线看的过瘾。

        说实话之前并不了解这段历史，看了这部影片才知道先辈们面对战争的残忍，洒血刚毅前行，用他们的生命才换来今天的和平安康，致敬这些最可爱的人，愿如今繁华盛世，如你所想。
"
落花时节再吃鸡,1,很差,2021-10-05 22:18:21,2391,"
电影毫无结构 段落化太明显 对剧情没有帮助的打斗戏太多 体验非常差。关键角色的口音不符合人设 吴京和千玺都是湖州兄弟 可是一口京腔。很多片段是音乐先行 剧情还没到高潮 音乐就已经拉满 煽情煽到恶心
"
Ronit,5,力荐,2021-10-04 23:15:10,1558,"
“《长津湖》最好的彩蛋，便是今日繁荣昌盛的祖国”
"
还好呢,5,力荐,2021-10-02 23:42:13,1267,"
我就知道，肯定会有很多大能耐打着低分再写段“专业”的影评，然后心满意足的想“我可真牛逼！”
"
手可摘星辰,3,还行,2021-10-01 23:32:57,1247,"
你说它没剧情吧，但战争就是这样打打停停然后继续推塔，就是这样的残酷和枯燥。然而这是一部电影啊，这也太平了吧，在战火的轰鸣中平铺直叙，毫无讲故事的技巧可言，像一部没有详略安排的流水账，情节还碎。人物群像塑造得也粗糙、浮于表面，大部分角色几乎可以套用到任何战争片里。镜头语言一般，能留下深刻印象的镜头寥寥无几，是我苛求商业片的艺术性了。三小时太长了，某些部分情节内核相似度太高，特别是后半部，还有一些碎片情节莫名其妙，有割裂剧情的，有情感推不到位靠回忆来强推的，依然是剧本的问题，而且什么都想放上去，就容易样样落个蜻蜓点水。这样一个催泪题材都没让我暴哭，导演也是属实厉害。另外这是这些年来我见过的解说字幕最多的电影。后来一看导演有谁，哦，明白了。
"
1种小欢乐゜,5,力荐,2021-09-29 22:52:09,2844,"
这是一段值得所有中国人铭记的历史。开头就有汹涌的泪水夺眶而出，他们是最可爱的人！作为一部战争片，私以为《长津湖》是可以比得上《血战钢锯岭》的了。
"
折剑斩江河,3,还行,2021-10-01 17:36:45,895,"
感人的是历史，是献身的人民。电影拍的实在一般。这么大制作，能不能把有的布景做的真实一点。
"
馨潇,5,力荐,2021-10-04 19:44:23,799,"
越长大越感慨，别说当时的美军想不到，现代人更想不到，在没有制空权的情况下，在补给、装备远远落后的情况下，中国军队打赢了抗日战争，打赢了抗美援朝战争，打赢了一切对外正义战争。
"
帕帕多普洛斯,3,还行,2021-09-30 16:00:41,493,"
「当初拍摄时间不够，一场修桥拍了三回，这次我们时间多了，再也不用一场戏拍三回了！」

一般般吧，看下来挺累的，感觉无论是陈凯歌还是徐克拍完全片都应该会有更好的呈现，林超贤那段就……算了，几乎整整一小时毫无呼吸感的红海式大尺度杂乱动作戏，刚开始是有点刺激，但看着看着感觉都成白噪音了，甚至犯困……

陈凯歌的部分主要问题在于事多，在已经严重不连戏的情况下，依然拍得很赶，依然有很多JGDY似的跳跃，但是也贡献了本片最好的几个名场面（就是剪进预告的那几场）；徐克的部分中规中矩，至少没有林超贤那么乱，也有张弛…

本来看到选角是期待做成纯个体视角的，结果没想到预告一上来就高层会议了，要这么多，结果还弄了一个小时给林超贤拍无意义的信号塔攻防战，唉………
"
Mr.Candy,5,力荐,2021-09-27 19:45:35,2650,"
有幸观看首映，且不说抗美援朝精神带来的感动和震撼，单说这部电影本身，观感非常非常爽，此前最为担心将近三个小时的时长会拖沓和让人疲惫，但176分钟看完绝对还是意犹未尽，甚至找不出任何尿点。必须说这是国产电影史上最牛逼的战争片，制作绝对不输任何国际大片。最棒的是战争戏，除了令人震撼的视觉效果和大场面之外，难得将节奏也拍得逻辑条理清楚收放自如，全程紧张握紧小手。陈凯歌把控的人物塑造也非常好，寥寥几笔主配角性格都塑造得非常生动，还有车厢外万里江山的浪漫，没有刻意煽情但赚足了眼泪。各位主演也都稳稳的。
"
西帕克,4,推荐,2021-09-29 21:06:50,2004,"
三位大导演通力合作，贡献了一部绝无仅有的作品。最大的乐趣可能在于猜测某场戏或某个点子究竟源自哪个导演。我的猜测是：陈凯歌把控方向，拍摄宏观历史下的文戏细节；徐克则把朝鲜战场悬殊的敌我力量、“钢少气多战胜钢多气少”进行具像化，扔手榴弹绝学，无疑都有武侠气质；林超贤负责实打实的动作，延续了自己的暴力美学。易烊千玺和吴京的兄弟情，则展现了两代爱国者的传承。年轻人可以选择爱国献身，但最重要的还是要知道有时该开枪，有时则不该。
"
仿生NING,3,还行,2021-10-02 23:39:08,454,"
一如既往的套路…民族情绪煽动真的ok…fine…观影的时候一直在思考：第一，无谓牺牲是否存在？第二，历史战争题材电影在刻画敌军形象时，那些可憎、傲慢、戏谑模样是否已成刻板印象，是拍出群众喜闻乐见的主色调，还是更侧重历史的真实性还原性（真实会传达给民众吗）。第三，对比中美军队处境，一边吃着火鸡喜迎圣诞，一边薄棉严寒磕掉牙的土豆。可先进、强大、后勤保障能力强有错吗？这样对比又想渲染什么？回家路上我想明白了第三点：强大并无过错，但其作用在于保护与发展，是人类文明进程中的必然。杀戮、掠夺、侵占才是恶，而用强大实力去浇灌恶的生长，就是敌军所做之事，也是先辈们以血肉奋力抗争之事。
"
毛脸儿,1,很差,2021-10-05 01:01:17,312,"
鲍德熹和罗攀也太恐怖了
"
菁,4,推荐,2021-10-06 18:02:02,376,"
可能因为知道结局吧，全片最难过的居然是开头所有战士排队上火车准备去前线的片段，奇奇怪怪的点。
"
LGB-,3,还行,2021-09-30 15:18:15,508,"
好片子，剪坏了。
"
清凉峰,4,推荐,2021-09-30 22:17:18,907,"
以前一直不理解为什么他们宁愿放弃生命也要追求胜利，后来慢慢明白了，他们的背后是人民，他们的心中有信仰，他们敢于面对第一强国发起冲锋，只为建设自己理想的国家。
我们是被发现了吗
不，我们要冲锋了
"
su,3,还行,2021-09-26 16:34:17,702,"
事无巨细的开头，仓促升华的结尾。人物算是立住了，但追到最后他们的命运全无交代，甚至不知道究竟是生是死，简直让人一口气上不来。或许不该找三个人来导演。
"
Sharkwww,5,力荐,2021-09-29 19:00:04,3504,"
感谢影协点映，
完美诠释了什么是最可爱的人！
"
minkeymao,3,还行,2021-10-10 19:09:06,242,"
中国所有的主旋律电影就是有个弊端，剧情太差，场景换来换去，节奏很乱，根本没有剧情主线，看完都不知道在讲啥。看中国医生的时候也是这种感觉，整个电影将描绘的很宏大，音乐很庄重，但是讲的东西乱七八糟，什么都挑一点讲，最后什么都没讲。 不要总是挑这些历史事迹卖弄情怀，以为只要拍历史战争片再加些老戏骨就是好电影了，不是说不能拍，要拍就好好的，细细的琢磨，专研剧本和剧情。
"
豆友200838658,5,力荐,2021-10-03 15:40:13,577,"
今天看了长津湖，有一句话特别触动，这一场仗我们不打，我们下一代就要打。我不说别人，就我自己，不能想象，如果现在的时代是战乱的年代，会如何？不能想，也想不出来。战士他们的想法好简单，也很实在，就是因为我的家乡会收到侵犯，得之不易的幸福会被破坏，他们毅然而然离开家乡，奔赴战场，在零下三十四十的温度下，吃着冻土豆，隐蔽在冰天雪地里一动不动，有的人冻死冻伤，甚至都没有机会正面敌人。有一幕，敌军飞机监察，他们伪装成死尸，然而敌军两人十块钱的比试，导致他们被扫射，他们受伤了也一动不动，生怕动了连累其他同志，这是多大的意志和信仰。他们都是英雄，是最可爱的人。
"
Hanks Young,5,力荐,2021-10-04 02:10:41,521,"
外公参加过长津湖战役，看到了外公的影子，那场战役能够活下来已经很难了。战争镜头真好看
"
渺渺木叶,4,推荐,2021-10-07 20:53:35,341,"
长津湖一战我军有四万多的伤亡，其中有三万多人是冻伤的，冻死的有四千多人，有几个连队甚至都在阵地上被活活冻死。这个伤亡和我们的后勤准备不足有关。当时参加长津湖战役的志愿军部队是宋时轮将军的第九兵团，之前是一直驻扎在南方准备攻台的部队，又因为提前入朝，没有准备过冬的衣服。当时为了达到出其不意的效果，放弃了后勤补给，千里突袭，才造成了这么大的伤亡。不过我们也完成了战略目标 打退了美军。美军陆战一师是美军的王牌部队，全歼太难了，全歼了一个整编团已经很好了。无论如何，还是向这些保卫国家的革命先烈们致敬。
"
葳蕤,5,力荐,2021-10-06 08:11:00,464,"
前天刚看过《长津湖》，回来和家人聊了好久。我家有两位志愿军战士，一位是我的爷爷，他是朝鲜战场上的战斗英雄，归来后又上过越南战场，一直当到团长，载誉归来。另一位是我姥爷的哥哥，18岁就牺牲在了朝鲜战场上…就在前几年我的家人们还奔赴千里外祭奠了先人…每一位志愿军战士都不该被忘记，历史更应值得我们每个人铭记。
"
北京的深秋,5,力荐,2021-09-29 22:10:53,2413,"
王树增的纪实小说《朝鲜战争》读过好几遍，其他的相关纪录片也看过不少。打得一拳开，免得百拳来，71年前，240多万年轻的中国人民志愿军将士保家卫国，慷慨赴朝。这一段谜一般的波澜壮阔的历史深深吸引着我。电影《长津湖》是久久期盼的一场电影，我看得热血沸腾，非常感动：零下40度气温的盖马高原战场，美军有极地型驼绒防寒大衣和鸭绒睡袋、有肉和菜，冰天雪地里的志愿军战士身上只穿着单薄的棉衣，只有一颗冻得如石头一般坚硬的土豆，拼命还得受冻挨饿！他们是最可爱的人，就是在这样极端严酷的条件下，他们打出了钢少气多的志愿军气概，打出了军威国威。致敬中国人民志愿军将士！
"
不正坐标系,5,力荐,2021-09-29 22:43:24,2490,"
176分钟的历史回顾，场面应该是国产片至今最大的(至少是我看的电影里面是最壮观的)，事件叙述很清晰，人物特色很鲜明，没有以往看的战争电影的那种快节奏或者画面切换过多过乱。这样主旋律的电影请一年一部，当下的和平时光都是前人的牺牲换来的，铭记历史，壮大祖国，是对他们最好的报答。场外提醒，看电影前一定要少喝水和上厕所。可以的话，观影途中请别刷手机，既是对电影对历史的尊重，也是对旁人的尊重。
"
请叫我三水萨玛,5,力荐,2021-09-29 22:45:09,3759,"
没想到自己看战争片也可以如此入神，千里阻止万里枪杀美军基地指挥官时，严重破防了，这就是中国军人，这就是中国之魂，仁之本位，今日份思想觉悟get！
"
汐,5,力荐,2021-09-30 17:48:48,1209,"
没看会后悔 三个小时一点也不长 群像很好人物立体 很震撼
"
小巷,5,力荐,2021-09-29 23:15:34,3596,"
非常好看的影片，里面的人物生动感人，70年前的战争更会比演绎的更惨烈，片子里时时说为了后辈不打这场仗，所以我们一定要打，面对外敌入侵只有战场才能赢回尊严，我们是幸福的一代人希望能有更多的观众走进影院观看，希望记住那段历史更加珍惜美好的时光……更加感知今天的幸福生活
"
堂费南度,3,还行,2021-10-03 11:29:35,564,"
为什么到现在了，这么大的制作，画面还是满满的塑料感，台词硬得像学生作文？
"
张雨绮绮绮子,5,力荐,2021-09-29 19:53:21,3296,"
史诗级作品，历史战争片天花板，深度还原了抗美援朝东线战争场面，无论动作戏还是战争戏都是顶级制作，剧情方面兰晓龙是天才，群戏能把人物形象塑造的这么立体绝了，印象深刻演得好的一个是四字弟弟，还有一个是戏份不多的黄轩和教员
"
Xshuai胡,5,力荐,2021-10-01 18:20:19,480,"
虽然有些不如人意的地方。但就凭这个题材。他就值五星
"
Ramen,2,较差,2021-10-03 09:04:59,599,"
想讲的太多，结果是一个也没讲好。剪辑混乱 ，特效低廉，情感线离谱，陈凯歌你还是把我对于你那点仅有的尊敬败光了。
"
让我睡一会,5,力荐,2021-09-29 15:17:28,2115,"
认真安利《长津湖》，特别被电影所传达的信仰所打动，有场面、有故事、有力量！ 每个演员的表演都很有穿透力，其中印象最深的是胡军饰演的如此硬汉形象的雷公，在奄奄一息的时候说：“你们别把我一个人就在这，我不想死啊，我好疼啊。”眼泪止不住的流，再一往无前的战士，本质也是跟我们一样的普通人，他也会疼也会怕死，但还是义无反顾的保护战友、保护国家
"
雾淡乡,4,推荐,2021-10-01 22:52:09,364,"
挺好，前2/3很惊喜，文戏武戏都到位
。没有强行反战反思，没有过于个人英雄主义，拍出了我们正义之师的精气神！但是压轴的长津湖之战反而流于程式化了，唉……
"
看热闹的萝卜,2,较差,2021-10-04 23:15:16,559,"
拉满期待值去看的，失望而归。能否不要急于求成，能否少做营销，能否把钱花在刀刃上。看过电影后居然觉得抗美援朝赢的还挺容易？？？！！！以后陈凯歌要成为避雷神器了。
"
王玦,2,较差,2021-10-02 21:14:22,859,"
这拍的是动作片…美军除了空军，陆军就是屑。无语，真当抗美神剧在拍。不少画面甚至没制作完成，色调都没统一。战争场面又多又长。完全没有轻重设计。中国就没导演会拍战争戏吗？再，北方人演南方人能不能认真点，一口北方强调不说行为也完全看不出南方人
"
Nino,2,较差,2021-10-04 17:03:59,509,"
看到老段我支棱起来了，看到陈凯歌啊我又不想看了，诶编剧是兰晓龙诶，我又想看了……陈凯歌，我该不该相信你……10.4还是带家人一起去看了，是谁说陈凯歌的文戏拍的好的？！大骗子！胡军，段奕宏，朱亚文演的好，他们念煽情的台词我不会觉得他们在演不会有生硬的感觉，但是吴京，韩东君不行……太刻意了，要不是不断的轰炸前面2个小时我能睡死过去！易烊千玺最拉！我爸说他演的像个混混！流里流气的！剧情呢，用我弟的话一句话概括就是：一直在轰炸没有剧情。不要去看！不要被营销骗了！到底是谁给我的勇气让我有期待啊！
"
李枫,5,力荐,2021-10-08 14:25:55,448,"
卧槽尼玛的美国鬼子
"
三峰结华p,3,还行,2021-09-30 15:16:58,375,"
三星给演员的演技和配乐。接近三个小时的剧情太散碎，有些人物甚至都不怎么刻画就便当了，终究还是商业片。特效也太尬了，美国空军那部分蚌埠住了。唯一的惊喜就是音乐了，与大部分剧情相得益彰，更好的感染观众
"
kyoyuki胤,5,力荐,2021-09-29 23:42:23,1574,"
个十百千万，千千万！山河无恙，致敬我们最可爱的人！三大导演齐上阵，各有千秋，但影片整体效果呈现得不错又和谐，叙事完整、节奏流畅、有血有肉，看三个小时没问题。瑕不掩瑜，这应该是目前战争片里最好看的一部了，镜头画面真挚，没有什么冗余部分，甚至还想延长些补充完整点。第六百七十七名！加油！
"
豆友151526638,3,还行,2021-10-01 21:06:43,560,"
长，坐在电影院太煎熬了。看到前排很多人看一半走了，我告诉自己，这是付了钱的，不能走。
正常电影开头-高潮-结尾，这部电影开头-高潮-结尾-开头-高潮-结尾-开头-高潮-结尾-开头-高潮-结尾，这种结构根本不像电影，像是电视连续剧。嗯，没错，我坐在电影院看了近三小时的连续剧。
我一直不懂为啥除了第一场战争外，其他战争都没办法让我集中注意力，后来电影结束才知道是三个导演拍的。第一场战争明显更有戏剧张力，后面的战争基本就是拍了个打战的过程，看着看着就不想看了（还不如只选择其中一场战争来进行拍摄，其他带过）。
这种历史题材的剧，观众都知道结局了，最重要就是过程中结合史实的情况下能有戏剧上的创新和张力，否则很难抓住观众。
如果一部历史题材的电影无法靠情节吸引观众，那么还不如去看纪录片，至少纪录片真实。
"
水淼i,3,还行,2021-10-05 09:02:11,241,"
13亿的大制作，结果开头的特效假的直接让人出戏。。。
"
百代过客,3,还行,2021-09-27 23:47:38,625,"
从火车出逃的隐蔽戏和第一场村庄支援战太棒了，盖过了后半段的总进攻。整体而言，就特别博纳——主旋律，老面孔，秃如其来的口号式台词，虽迟但到的煽情，不过这次的惊喜角色是胡军饰演的雷爹。一场艰苦而伟大的胜利，来之不易的幸福。

"
遥远的他,5,力荐,2021-09-29 21:15:08,2118,"
中国第一部史诗级战争片（真正的！）投资十三亿，三大导演陈凯歌、徐克、林超贤，顶级领衔主演吴京、易烊千玺，《长津湖》值得如此阵容！
"
皮皮米,3,还行,2021-10-02 09:20:49,305,"
万里这个角色，有点儿牵强，还是感觉加入这个角色是为了电影市场和流量，在整体故事线中，真可有可无，没那么重要；三个小时的电影，总体来说，还是蛮紧凑的，节奏把控不错，最喜欢胡军饰演的“雷爹”这个角色，很真实！
"
