danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity
0.836,0.543,0.1245,104.998,-8.6335,0,1,0.5215,0.000426,0.11,0.04645,0,195373,62.5
0.56361194,0.373192537,0.627328358,125.8985522,-13.71270149,0.805970149,5.492537313,0.733447761,0.003622132,0.23031791,0.113774627,0,163555.8358,17.34328358
0.50675,0.4255,0.653875,108.805875,-11.311875,0.625,7.25,0.98625,0.53419,0.18725,0.0604375,0,191710,0
0.59,0.396,0.552166667,122.3225,-14.97866667,0.833333333,4.666666667,0.372233333,0.626666667,0.119316667,0.032933333,0,310708.8333,36.66666667
0.852,0.31,0.656,98.38,-15.514,0,8,0.235,0.897,0.0476,0.0585,0,316027,25
0.386,0.836,0.352,160.249,-5.005,0,8,0.00015,0.832,0.0875,0.0404,0,223631,40
0.598884615,0.716269231,0.775423077,122.6609231,-8.206346154,0.846153846,4.769230769,0.553653846,0.001253565,0.220815385,0.055311538,0,155206.3077,22.26923077
0.694,0.526888889,0.451066667,101.8308889,-6.104,0.555555556,5.777777778,0.145733333,6.80E-06,0.198366667,0.071566667,0.888888889,268315.5556,55
0.369,0.639,0.345,81.053,-4.839,1,0,0.418,0,0.141,0.0341,0,204613,46
0.655705882,0.695882353,0.654176471,126.0270588,-6.641235294,0.764705882,6,0.163158824,2.64E-06,0.147911765,0.080694118,0.117647059,229232.7059,52.29411765
0.629,0.658,0.543,131.958,-6.703,0,6,0.16,0,0.245,0.0463,0,181173,63
0.613,0.709,0.523,134.972,-7.408,1,7,0.0819,0,0.11,0.0387,0,220125,59
0.721,0.944,0.626,85.002,-5.982,1,8,0.013,0,0.32,0.159,0,262760,52
0.517,0.828,0.91,184.991,-4.224,1,7,0.0627,0,0.317,0.0571,0,220067,43
0.466,0.696,0.649,171.684,-6.497,1,8,0.329,0,0.0959,0.287,0,269907,45
0.487285714,0.964142857,0.539571429,102.5064286,-3.369285714,0.857142857,5.571428571,0.2454,0.089451154,0.305714286,0.142157143,0,169760.1429,39.57142857
0.7451,0.8176,0.531,126.4201,-4.0372,0.4,4.9,0.0458146,7.31E-06,0.24035,0.18857,0.6,224277.2,56.3
0.473484848,0.377954545,0.501736364,111.3094697,-14.64707576,0.590909091,4.681818182,0.519528788,0.001648721,0.229722727,0.047604545,0,226030.0909,38.87878788
0.5385,0.578,0.3115,82.183,-7.076,1,6,0.528,1.66E-05,0.08675,0.03345,0,212413.5,37.5
0.4155,0.573,0.514,128.831,-8.714,0,10,0.4255,0,0.53,0.0328,0,237893,40.5
0.491,0.405,0.287,128.413,-12.947,1,6,0.336,1.50E-06,0.0331,0.0299,0,340760,26
0.343,0.314,0.125,77.779,-10.809,1,8,0.65,0.000164,0.109,0.0302,0,263907,54
0.376,0.504,0.625,140.794,-9.454,1,0,0.368,1.72E-06,0.162,0.0372,0,139533,39
0.607,0.694,0.861,136.458,-6.712,1,5,0.409,4.39E-06,0.131,0.0366,0,155427,35
0.665702128,0.664765957,0.594085106,117.5449787,-5.790787234,0.574468085,4.085106383,0.263785745,7.53E-06,0.155546809,0.073623404,0.255319149,218710.5745,67.31914894
0.705,0.701,0.591,108.992,-4.314,1,5,0.00388,0,0.058,0.0287,0,370812,53
0.691,0.824,0.685,75.516,-3.925,0,1,0.11,0,0.353,0.0731,0,229373,60
0.597,0.755,0.0467,89.146,-2.209,0,4,0.0423,0,0.582,0.052,1,238333,64
0.611,0.497,0.603,134.96,-11.138,0,11,0.00703,0,0.162,0.0275,0,171587,48
0.32525,0.95825,0.311,106.92525,-6.732,0.75,6.75,0.002040625,0.0845725,0.180575,0.127375,0,245103.25,41.5
0.628,0.7592,0.631,138.982,-6.298,0.6,4.8,0.11634,0.00865615,0.0946,0.04408,0,221574.6,56.6
0.439,0.303,0.268,139.475,-10.839,1,3,0.839,0,0.071,0.0422,0,170787,66
0.536,0.2159,0.392,99.3135,-16.975,1,0.5,0.593,0.04755,0.11,0.0448,0,184407,34.5
0.513,0.500333333,0.547071429,109.5863095,-9.188452381,0.928571429,6.380952381,0.4873,0.002157007,0.209502381,0.032892857,0,265045.6667,34.5952381
0.60675,0.84825,0.51025,119.67425,-2.424,0.25,6.25,0.10085,8.50E-07,0.2534,0.134475,0,212417,55.5
0.646,0.761,0.472,129.916,-2.557,1,1,0.0714,0,0.222,0.0385,0,167308,70
0.571,0.903,0.477,127.951,-2.184,1,7,0.0615,1.23E-06,0.186,0.214,0,206320,59
0.648,0.837428571,0.537,113.631,-4.579,0.714285714,4.571428571,0.095091143,4.00E-06,0.232828571,0.334857143,0.714285714,152306.7143,51.28571429
0.623,0.871,0.653,150.079,-2.403,1,0,0.0465,0,0.111,0.239,1,156267,60
0.652,0.704,0.6625,103.805,-6.163,1,5,0.21005,0.0002025,0.125,0.1815,1,165280,55
0.624,0.77,0.253,150.002,-5.008,0,6,0.00257,0,0.295,0.209,1,146507,49
0.719,0.712,0.419,96.997,-5.242,1,8,0.0225,0,0.0442,0.221,1,187747,60
0.615,0.813,0.799,167.991,-4.318,1,6,0.0193,0,0.196,0.143,1,166560,67
0.526,0.714666667,0.487666667,105.2853333,-4.868,0.333333333,6.333333333,0.312733333,0,0.153333333,0.1403,0.333333333,281684.3333,48
0.380666667,0.911333333,0.296133333,145.0133333,-4.081,1,8.666666667,0.0005091,0.230670033,0.266,0.0835,0,228404.3333,47.66666667
0.527444444,0.880888889,0.639,112.7265556,-9.757777778,1,5.777777778,0.016128889,0.007940994,0.2543,0.0561,0,252885.8889,47
0.663,0.553,0.504,163.881,-7.374,0,6,0.323,3.76E-06,0.0979,0.132,0,309227,47
0.736857143,0.7305,0.842714286,104.0885714,-6.544214286,0.714285714,5.857142857,0.244942857,0.020014036,0.153785714,0.044971429,0.071428571,214144.5,44.35714286
0.44225,0.46675,0.2195,117.164,-7.8095,0.75,6,0.55,4.15E-06,0.11975,0.027325,0,245268,34
0.551142857,0.817714286,0.709571429,120.3321429,-7.632571429,0.571428571,5.857142857,0.196171429,0.490592857,0.124728571,0.056228571,0,309513.7143,31.42857143
0.528,0.8315,0.8685,114.5925,-8.942,1,3.5,0.02745,0.356502075,0.16815,0.0345,0,152690,39.5
0.711833333,0.865,0.584,102.6795,-4.260166667,0.5,4.833333333,0.079433333,3.94E-06,0.392166667,0.155983333,1,263084.5,41.5
0.839,0.842,0.836,162.035,-4.547,0,6,0.0147,0,0.34,0.355,1,283708,43
0.605931818,0.575386364,0.438106818,114.1270909,-12.80656818,0.590909091,4.340909091,0.323929182,0.599986591,0.213431818,0.077456818,0,309439.7045,36.11363636
0.5934,0.654,0.9044,119.4204,-9.162,1,3.6,0.671,0.5432,0.18,0.03724,0,182962.4,0.6
0.428714286,0.882321429,0.484357143,139.0252857,-5.365142857,0.607142857,5.857142857,0.038913357,0.000275494,0.203892857,0.126003571,0.214285714,317816.6786,44.28571429
0.435,0.933,0.374,169.976,-5.572,1,2,0.0133,0,0.229,0.0851,0,198587,40
0.578625,0.6725,0.593541667,118.5398333,-8.480541667,0.958333333,5.916666667,0.146278792,0.037353129,0.143458333,0.039691667,0,235757.3333,44.08333333
0.56275,0.32625,0.38175,115.8415,-14.8485,0.75,4.75,0.533425,0.4392825,0.1263,0.033375,0,276300.75,41.25
0.471766667,0.786683333,0.565696667,138.9917833,-9.42205,0.883333333,4.9,0.08976605,0.116176915,0.342098333,0.050351667,0,243580.2667,34.28333333
0.708714286,0.712142857,0.616642857,122.9148571,-7.576,0.5,5.214285714,0.3234,0.178486571,0.117771429,0.044714286,0,304018.9286,45.07142857
0.398125,0.907625,0.5435,116.316875,-6.629875,0.875,5.375,0.0130466,0.06693929,0.1333875,0.0673,0,274493.125,42.125
0.7485,0.755,0.9655,156.876,-4.619,1,8.5,0.3605,4.15E-06,0.0948,0.19335,1,204573,50.5
0.613,0.78475,0.4885,114.28825,-6.342,1,5.75,0.42775,0.09753025,0.100925,0.0338,0,248123.25,57.75
0.662,0.207,0.496,95.466,-16.176,1,2,0.916,0.0698,0.101,0.0427,0,262533,58
0.6774,0.54824,0.58972,115.9924,-7.4614,0.68,4.44,0.138362,8.41E-07,0.124928,0.115804,0.12,272209.12,48.92
0.7025,0.578,0.7275,121.468,-7.8095,1,6,0.1095,1.07E-05,0.1095,0.04225,0,283026.5,50
0.510714286,0.195814286,0.534857143,88.52914286,-20.21257143,0.857142857,6.428571429,0.806571429,1.57E-06,0.131785714,0.100571429,0,198312.2857,34.57142857
0.4329,0.783,0.2658,137.2435,-5.679,0.8,5.1,0.09177009,6.07E-05,0.14815,0.05753,0.3,223132,43.1
0.4906,0.706466667,0.595333333,127.0308667,-11.66573333,0.866666667,7.066666667,0.0195044,0.304407089,0.23376,0.0415,0,274755.5333,33.6
0.397583333,0.791166667,0.285858333,134.1612778,-5.466861111,0.916666667,4.833333333,0.00437705,0.002371144,0.171877778,0.042066667,0,285287.0278,48.86111111
0.507939394,0.820272727,0.521354545,129.6121212,-4.364666667,0.606060606,3.787878788,0.056643188,0.011063704,0.215590909,0.055357576,0.060606061,210991.8485,56.39393939
0.777,0.82,0.651,119.987,-3.211,0,1,0.00505,2.60E-05,0.142,0.0471,0,208133,49
0.773,0.639,0.31,119.97,-6.738,1,1,0.0333,0,0.166,0.038,0,243240,44
0.775,0.641,0.305,119.974,-6.718,1,1,0.0327,0,0.18,0.038,0,243013,57
0.673666667,0.379666667,0.655,113.325,-13.174,0.666666667,8.666666667,0.325333333,0.000177077,0.089033333,0.0331,0,195780.3333,37.33333333
0.596666667,0.846666667,0.693333333,139.327,-2.890333333,0,6.333333333,0.022127,2.67E-05,0.179666667,0.059533333,0,255169,54
0.601375,0.6375,0.574625,116.4525,-9.640875,0.875,7.75,0.41901,1.90E-05,0.27525,0.2601625,0.25,190378.125,26.625
0.566,0.694166667,0.751833333,125.8221667,-10.2105,1,4,0.608,0.8775,0.08745,0.040183333,0,154771.3333,17.16666667
0.418,0.6085,0.6935,145.924,-9.7065,1,5,0.297,0.00054555,0.16245,0.08475,0,309872,26.5
0.541785714,0.702571429,0.549785714,142.1819286,-6.243,0.928571429,6.642857143,0.236335714,1.87E-07,0.156821429,0.037378571,0,245327.5,46
0.59725,0.37675,0.635166667,101.9989167,-12.22325,0.666666667,5.666666667,0.643083333,4.27E-06,0.134341667,0.115625,0,189789,15
0.542282609,0.570434783,0.537369565,134.0988696,-11.0341087,0.739130435,4.739130435,0.317789783,3.94E-06,0.192441304,0.040069565,0,211259.6739,40.2173913
0.64425,0.664,0.754916667,120.4825833,-10.0545,0.333333333,5.833333333,0.263416667,0.000292712,0.252625,0.139958333,0,362604.4167,32.66666667
0.69825,0.407,0.54075,132.286,-18.103,0.5,5,0.213075,0.75625,0.175975,0.07965,0,378946.75,42.75
0.425297297,0.532432432,0.270835135,121.0501892,-9.198702703,0.756756757,4.216216216,0.196863973,0.070567547,0.185608108,0.03952973,0.054054054,249390.7568,53.51351351
0.681,0.637470588,0.736823529,112.0746471,-9.211294118,0.764705882,5.705882353,0.197862353,0.003858003,0.092411765,0.056458824,0,352317.5882,27.94117647
0.401,0.0236,0.163,110.519,-18.749,0,6,0.978,0.579,0.102,0.035,0,672520,60
0.610230769,0.470076923,0.64474359,114.0854615,-12.7295641,0.820512821,4.487179487,0.339871026,0.000279428,0.162164103,0.049687179,0,197347.641,30.92307692
0.652,0.792,0.964,105.7295,-7.59,1,2,0.212,2.26E-06,0.414,0.0387,0,163733.5,46
0.729,0.76,0.915,127.177,-5.8895,1,5.5,0.3455,0,0.0952,0.1034,0,154500,45.5
0.538,0.3775,0.68725,148.04375,-10.8245,1,1.75,0.78725,1.35E-05,0.18425,0.102775,0,174126.75,45
0.787166667,0.769,0.749333333,93.32033333,-6.257166667,0.666666667,5,0.247616667,0.00024696,0.145116667,0.117066667,0,190409.1667,55.16666667
0.839,0.593,0.721,95.008,-9.714,0,6,0.169,1.32E-06,0.0648,0.0438,0,142867,49
0.858,0.741,0.823,93.001,-7.204,0,9,0.0196,2.04E-05,0.0974,0.124,0,170854,56
0.846,0.69,0.741,94.982,-8.284,0,1,0.0261,4.68E-05,0.35,0.18,0,184241,51
0.834,0.826,0.6,95.016,-7.036,1,0,0.127,6.33E-06,0.0924,0.067,0,183947,56
0.842,0.681,0.238,96.017,-8.149,0,4,0.0115,2.65E-06,0.113,0.0544,0,232587,60
0.45,0.479,0.531666667,143.1946667,-6.949,1,8.333333333,0.615333333,0.00069,0.0966,0.045466667,0,148124.3333,23.66666667
0.58,0.519,0.0384,97.314,-12.858,1,1,0.546,0.867,0.0959,0.0372,0,168067,44
0.75625,0.60025,0.78175,108.1065,-13.52175,0.75,5.5,0.1523,0.242875,0.3661,0.04715,0,258843.25,29
0.7935,0.43275,0.56975,109.6935,-12.68275,0.75,8.75,0.174775,0.000932,0.231725,0.04785,0,417213.25,42
0.5508,0.3662,0.42,86.1178,-9.2756,0.8,7.2,0.7152,4.02E-05,0.218,0.14324,0,243904,50
0.4175,0.3455,0.347,109.812,-9.942,1,1.75,0.75475,0,0.129225,0.055175,0,332593.25,52.5
0.187,0.583,0.23,144.635,-7.716,1,1,0.512,0,0.769,0.0595,0,480560,46
0.600333333,0.613666667,0.922,102.8346667,-9.004333333,0.333333333,4,0.663666667,0.0031604,0.203666667,0.044966667,0,374106.6667,42
0.342,0.873,0.85,168.74,-3.152,0,5,0.019,2.20E-05,0.164,0.0414,0,236267,42
0.612181818,0.60900303,0.888121212,111.7644242,-8.543575758,0.515151515,4.575757576,0.635545455,0.020369138,0.186730303,0.065793939,0,239690.5455,31.66666667
0.702,0.532,0.848,92.14,-8.646,0,5,0.3,4.93E-06,0.0738,0.0371,0,213093,34
0.586470588,0.608470588,0.741823529,104.7151765,-8.107647059,0.470588235,5.117647059,0.658529412,0.068274681,0.190811765,0.062523529,0,285518.1176,34.58823529
0.446,0.389,0.697,184.665,-15.916,0,4,0.677,0.0023,0.926,0.182,0,476546,42
0.523888889,0.689222222,0.480111111,130.7656667,-8.652888889,1,3.888888889,0.165677778,0.000374142,0.362822222,0.056644444,0,254716.7778,45
0.572,0.177,0.352,99.363,-15.042,1,9,0.75,0,0.105,0.0286,0,226000,32
0.568729167,0.540041667,0.750854167,120.1548958,-8.092541667,0.9375,4.833333333,0.5874625,2.46E-05,0.235227083,0.059220833,0,157157.7917,24.47916667
0.387,0.492,0.802,145.39,-14.229,1,5,0.235,0.282,0.885,0.0324,0,540800,41
0.521,0.972,0.577,115.999,-6.154,1,6,0.000248,0.793,0.96,0.0478,0,289587,35
0.608,0.97,0.617,98.307,-4.943,0,6,0.0174,0.131,0.0933,0.0465,0,276560,36
0.634416667,0.536,0.653416667,110.6369167,-8.993083333,0.666666667,3.333333333,0.528535833,5.83E-05,0.225775,0.0469,0,156224.4167,31
0.6575,0.7235,0.892,91.66575,-8.04125,1,6.25,0.92675,1.72E-05,0.418,0.068675,0,164865.5,5.25
0.3675,0.6905,0.4325,114.6545,-7.4005,0.5,4,0.010374,0.017415,0.3831,0.0725,0,269239,37
0.642,0.823571429,0.553571429,118.4795714,-7.786142857,0.571428571,4.714285714,0.013987143,0.077915,0.354428571,0.041257143,0.142857143,232537,42
0.772916667,0.567833333,0.812666667,111.5916667,-8.625083333,0.666666667,8,0.122244167,0.000110488,0.137233333,0.12925,0,233304.4167,39.75
0.723,0.645,0.781,129.904,-7.997,0,9,0.293,0.00092,0.164,0.0662,0,500733,32
0.309,0.201,0.432,163.707,-15.333,0,9,0.731,6.67E-05,0.0699,0.0306,0,263440,42
0.8234,0.7408,0.816,128.6412,-5.7502,0.6,4.4,0.3526,0.000935872,0.20896,0.077,0,304944,43.6
0.4593,0.8824,0.55255,113.177,-8.74565,0.8,5.1,0.0278715,2.10E-05,0.20446,0.052665,0.1,137899.3,28.2
0.825,0.663,0.417,116.051,-9.414,1,2,0.423,0.415,0.286,0.0687,0,248987,55
0.367032258,0.820403226,0.400422581,128.1628548,-7.03716129,0.677419355,5.129032258,0.017231421,0.174349475,0.184169355,0.052541935,0.016129032,281648.6613,41.70967742
0.418,0.7975,0.4385,135.248,-9.585,0.5,10,0.0074576,3.00E-06,0.342,0.07705,0,158567,37
0.3845,0.048875,0.21525,100.81425,-25.89875,0.5,4.5,0.9895,0.894,0.11225,0.048625,0,250832.25,58.25
0.736,0.811,0.609,103.502,-4.17,0,9,0.00132,0.000142,0.107,0.081,0,216733,70
0.887,0.808,0.954,122.26,-7.561,0,4,0.0849,0.016,0.0477,0.057,0,483441,41
0.513408696,0.644233913,0.494073043,123.3195217,-8.142921739,0.747826087,4.686956522,0.255722709,0.118550492,0.184444348,0.052094783,0,257483.9565,35.57391304
0.465,0.283727273,0.405627273,108.3989091,-14.542,0.818181818,4.818181818,0.910909091,0.125107189,0.414181818,0.157627273,0,175945.5455,3.636363636
0.398666667,0.774333333,0.446,107.8656667,-6.409,0.833333333,6.333333333,0.185043333,0.000185372,0.158483333,0.072433333,0,178404.3333,27.16666667
0.618,0.519,0.863,113.728,-12.72,1,2,0.791,0.963,0.114,0.0422,0,163573,41
0.542,0.148,0.248,89.585,-12.99,1,11,0.782,0,0.704,0.0394,0,216800,57
0.368,0.626,0.622,174.394,-7.082,1,2,0.015,0,0.201,0.0618,0,180733,51
0.643444444,0.701222222,0.750511111,124.1627778,-7.976444444,1,3.555555556,0.254926667,8.64E-05,0.140522222,0.030633333,0,194499.5556,53.44444444
0.3792,0.35846,0.36541,116.0279,-18.0851,0.2,6.8,0.77069,0.518075,0.11728,0.04391,0,428096.1,40.4
0.427,0.384,0.306,136.974,-17.1445,0,11,0.8685,0.46365,0.0847,0.04525,0,452800,32
0.578,0.421,0.382,111.444,-13.15,1,2,0.357,0.000856,0.0636,0.0269,0,241307,23
0.710888889,0.679777778,0.601888889,103.8023333,-5.561111111,0.444444444,5.111111111,0.2267,0.006329348,0.135711111,0.044511111,0,254963.2222,50.77777778
0.642,0.769,0.541,79.47,-3.791,1,7,0.193,0,0.0819,0.0406,0,244120,50
0.598,0.786,0.547,79.785,-3.601,0,9,0.0875,0,0.0945,0.0463,0,231867,55
0.531,0.4195,0.5145,133.883,-11.03,0.5,6,0.3979,0.000545,0.0634,0.0377,0,203913.5,36.5
0.7775,0.3745,0.2335,135.2545,-9.5235,0.5,4,0.407,0.12695,0.2005,0.0966,0,298166.5,34.5
0.851,0.75,0.623,127.885,-5.789,0,11,0.0646,0,0.261,0.119,0,244467,35
0.5975,0.808833333,0.449166667,125.4493333,-5.997666667,0.5,6.166666667,0.110877667,0.090739933,0.137983333,0.042783333,0.166666667,213562.1667,52
0.482777778,0.681888889,0.282888889,123.864,-9.121777778,1,5.222222222,0.272560889,0.361656667,0.141988889,0.031888889,0,272743.6667,44.22222222
0.5445,0.4765,0.6265,109.307,-15.9725,1,3.5,0.8385,0.7565,0.5445,0.161,0,273667,4
0.663,0.437,0.598,90.169,-11.137,1,10,0.503,0,0.0629,0.033,0,285493,39
0.44125,0.77425,0.4425,147.1595,-4.99375,0.5,7.25,0.045225,7.33E-07,0.2518,0.16645,0,322426.75,43.75
0.383666667,0.112,0.339,88.49466667,-15.67533333,0.666666667,3,0.981333333,0.000119383,0.198,0.0322,0,166160,25.33333333
0.739,0.675,0.643,100.054,-9.194,1,1,0.0545,0.0112,0.0632,0.0444,0,284345,34
0.520333333,0.8065,0.426333333,121.3795,-7.470166667,1,3.166666667,0.010091,0.004466657,0.229166667,0.0337,0,217822.3333,54
0.244,0.943,0.544,174.333,-4.208,1,3,0.000744,2.67E-05,0.157,0.156,0,332053,34
0.643,0.617,0.881,157.748,-5.006,1,9,0.823,0,0.33,0.0801,0,137960,39
0.436184211,0.560394737,0.572026316,124.1875526,-13.13510526,0.684210526,4.815789474,0.267302289,0.115986232,0.287992105,0.044347368,0,276187.1053,38.97368421
0.583756757,0.089467568,0.590405405,115.869,-21.34089189,0.918918919,4.540540541,0.966216216,0.080913168,0.114024324,0.123124324,0,133941.7027,4.810810811
0.493926829,0.814260793,0.401109756,107.2354268,-6.565036585,0.62195122,5.585365854,0.02259636,0.187493942,0.255428049,0.093614634,0.585365854,245313.3537,48.1097561
0.515333333,0.892666667,0.455333333,162.666,-5.078,0.333333333,7.666666667,0.000370333,0.0008,0.54,0.1013,0.333333333,201351.3333,54
0.568,0.877,0.585,137.311,-9.506,1,11,0.121,0.000173,0.0874,0.0339,0,278173,39
0.47775,0.43,0.56425,123.67325,-17.527,0.5,6.75,0.65275,0.478975,0.284,0.052025,0,308283.25,34.25
0.7065,0.5805,0.7805,127.959,-8.2175,0,2,0.22325,0.40101,0.162,0.0285,0,300006.5,43.5
0.513828571,0.526386667,0.601551429,126.2712381,-11.79662857,0.60952381,5.114285714,0.357659714,0.064582105,0.250828571,0.063284762,0.019047619,233822.9905,44.20952381
0.3495,0.6795,0.381,87.2855,-5.435,1,5.5,0.15635,0.00041,0.06025,0.03815,0,241600,60
0.596,0.737,0.808,148.144,-7.351,1,11,0.761,0.126,0.0643,0.0486,0,160244,3
0.559428571,0.551571429,0.737857143,122.5844286,-12.53814286,1,3.142857143,0.4317,0.003117704,0.406042857,0.070614286,0,210632.4286,29
0.7028,0.7112,0.629,123.2734,-9.3436,0.6,7.4,0.16474,0.000669132,0.14176,0.05444,0,290312.2,41
0.74375,0.444,0.4285,109.839,-8.06775,0.75,3.25,0.228625,1.35E-05,0.188825,0.05205,0,277960,41.75
0.732,0.42,0.473,137.45,-6.867,1,6,0.0687,1.28E-06,0.289,0.0514,0,291707,51
0.7555,0.462,0.7905,113.743,-7.3475,0.5,8.5,0.666,3.34E-05,0.09685,0.0436,0,154473,37
0.468,0.531,0.633,70.417,-8.337,1,11,0.989,0.00262,0.702,0.579,0,287991,25
